券商買賣股票成交價量資訊
股票代碼,="1604"
序號,券商,價格,買進股數,賣出股數,,序號,券商,價格,買進股數,賣出股數
1,1021合庫台中,30.10,0,5000,,2,1024合庫嘉義,30.20,0,3000 
3,1030土　　銀,30.05,0,2000,,4,1032土銀台南,30.20,0,1000 
5,1035土銀新竹,30.10,0,2000,,6,1040臺    銀,30.05,0,1000 
7,1041臺銀鳳山,30.10,0,5000,,8,1045臺銀新竹,30.20,1000,2000 
9,104A臺銀臺中,30.20,0,3000,,10,104D臺銀金山,30.20,0,5000 
11,1114企銀嘉義,30.10,0,597,,12,1161日盛忠孝,30.05,1000,0 
13,1161日盛忠孝,30.20,0,1000,,14,1163日盛台中,30.10,1000,0 
15,116C日盛八德,30.10,0,1000,,16,116i日盛樹林,30.10,358,0 
17,116I日盛南京,30.05,1000,0,,18,116K日盛花蓮,30.10,0,5000 
19,116S日盛新莊,30.05,0,6000,,20,116S日盛新莊,30.10,0,1000 
21,1380台灣匯立,30.20,112000,0,,22,1440美林,30.10,32000,0 
23,1440美林,30.20,15000,0,,24,1470台灣摩根,30.05,1000,0 
25,1470台灣摩根,30.10,4000,0,,26,1470台灣摩根,30.15,1000,0 
27,1480美商高盛,30.20,1000,0,,28,1520瑞士信貸,30.10,1200,0 
29,1650瑞銀,30.10,5000,0,,30,1650瑞銀,30.15,1000,0 
31,1650瑞銀,30.20,2000,0,,32,5260美    好,30.10,0,1000 
33,5261美好蘆洲,30.10,0,13000,,34,526A美好中和,30.10,7000,0 
35,5321高橋龍潭,30.20,0,3000,,36,5382第一台中,30.05,46,0 
37,5384第一台南,30.20,0,1000,,38,5385第一桃園,30.10,0,1000 
39,5387第一澎湖,30.20,0,2000,,40,5389第一中山,30.05,1000,0 
41,538I第一頭份,30.10,0,1000,,42,538M第一嘉義,30.20,0,3000 
43,538P第一路竹,30.10,5000,0,,44,5852統一敦南,30.10,200,0 
45,5854統一城中,30.10,0,1000,,46,585b統一內湖,30.10,1,0 
47,585B統一永和,30.10,2000,0,,48,585D統一新台中,30.05,67,0 
49,585D統一新台中,30.10,1000,0,,50,585E統一新營,30.10,0,2000 
51,585S統一宜蘭,30.10,0,5000,,52,5925元富台中,30.20,0,1000 
53,592b元富板橋,30.05,0,1000,,54,592D元富大昌,30.10,8000,0 
55,592E元富城中,30.00,650,0,,56,592E元富城中,30.05,6,0 
57,592H元富信義,30.10,0,1000,,58,592M元富彰化,30.20,0,4000 
59,592S元富基隆,30.05,93,0,,60,592X元富草屯,30.05,0,3000 
61,592X元富草屯,30.10,0,664,,62,592z元富文心,30.10,0,2000 
63,6010★    亞,30.05,0,1000,,64,6010★    亞,30.10,0,599 
65,601d亞鑫豐,30.10,0,20000,,66,601d亞鑫豐,30.15,0,1000 
67,601d亞鑫豐,30.20,0,2678,,68,6114中銀員林,30.10,0,200 
69,6163中信託永,30.20,0,6000,,70,6164中信託文,30.10,300,0 
71,6210新 百 王,30.20,0,1000,,72,6463大昌新竹,30.10,1496,0 
73,6464大昌新店,30.10,0,1000,,74,6465大昌桃園,30.10,3000,0 
75,6950福    勝,30.05,20000,0,,76,6950福    勝,30.10,20000,0 
77,7001兆豐嘉義,30.10,1000,2000,,78,7005兆豐中港,30.20,0,2000 
79,7009兆豐景美,30.10,0,85000,,80,700b兆豐中壢,30.10,2000,0 
81,700B兆豐板橋,30.10,100,0,,82,700C兆豐來福,30.20,0,1000 
83,700f兆豐鹿港,30.10,0,5000,,84,700h兆豐三民,30.10,1000,0 
85,700k兆豐員林,30.10,0,200,,86,700k兆豐員林,30.20,0,100 
87,700L兆豐天母,30.05,2000,0,,88,700U兆豐桃鶯,30.20,0,5000 
89,700W兆豐城中,30.05,1000,0,,90,7033致和府前,30.20,0,1000 
91,7034致和金華,30.10,0,1000,,92,7034致和金華,30.15,0,5000 
93,7034致和金華,30.20,0,5000,,94,7790國票綜合,30.00,22,0 
95,7790國票綜合,30.05,465,157,,96,7790國票綜合,30.10,0,1014 
97,779E國票南崁,30.05,0,1,,98,779j國票和平,30.10,3000,0 
99,779P國票九鼎,30.10,0,1000,,100,779v國票台中,30.20,1000,0 
101,8150台    新,30.05,0,1000,,102,8157台新左楠,30.10,300,0 
103,8159台新台南,30.10,0,4000,,104,8159台新台南,30.20,0,1000 
105,815A台新高雄,30.05,0,1000,,106,815A台新高雄,30.10,692,5000 
107,815A台新高雄,30.20,308,3000,,108,815B台新台中,30.10,2000,1000 
109,8381安泰大發,30.05,0,5000,,110,8440摩根大通,30.05,15000,0 
111,8440摩根大通,30.10,42000,0,,112,8440摩根大通,30.15,3000,0 
113,8440摩根大通,30.20,6000,0,,114,845J康和高雄,30.10,1000,0 
115,8560新    光,30.00,5,0,,116,8560新    光,30.10,200,3000 
117,8560新    光,30.20,5000,0,,118,8561新光台中,30.10,2099,1085 
119,8562新光高雄,30.05,1,0,,120,8562新光高雄,30.10,3000,0 
121,8562新光高雄,30.20,0,3000,,122,8840玉    山,30.10,5000,2000 
123,8842玉山新莊,30.00,0,2,,124,8843玉山高雄,30.10,1000,0 
125,8846玉山板橋,30.20,0,2000,,126,8847玉山台南,30.20,0,7000 
127,8848玉山嘉義,30.05,0,3000,,128,8848玉山嘉義,30.10,0,2000 
129,884C玉山南京,30.10,0,100,,130,884E玉山城中,30.05,1000,0 
131,884E玉山城中,30.10,1000,0,,132,8880國泰綜合,30.05,1000,0 
133,8880國泰綜合,30.10,20000,0,,134,8880國泰綜合,30.15,2000,0 
135,8880國泰綜合,30.20,1000,0,,136,8881國泰高雄,30.20,0,1000 
137,8883國泰松江,30.10,0,1000,,138,8883國泰松江,30.20,0,1000 
139,8884國泰台南,30.10,0,1000,,140,8885國泰桃園,30.10,0,1000 
141,8888國泰敦南,30.05,50,2000,,142,8888國泰敦南,30.10,7000,0 
143,888A國泰館前,30.10,0,1000,,144,888K國泰板橋,30.10,0,1000 
145,888K國泰板橋,30.15,1000,0,,146,888K國泰板橋,30.20,0,1000 
147,910D群益大興,30.20,0,5000,,148,9188群益三民,30.10,0,3000 
149,9189群益桃園,30.10,0,2400,,150,918M群益嘉義,30.10,100,0 
151,918s群益丹鳳,30.10,0,16000,,152,918W群益忠孝,30.10,0,800 
153,9200凱基,30.10,0,3000,,154,9204凱基台中,30.05,0,10000 
155,9208凱基桃園,30.05,0,4000,,156,9209凱基岡山,30.20,0,1000 
157,920G凱基彰化,30.10,1000,0,,158,920H凱基基隆,30.05,5,0 
159,9211凱基台南,30.05,0,1000,,160,9211凱基台南,30.10,0,1000 
161,9217凱基松山,30.05,0,332,,162,9217凱基松山,30.10,0,1000 
163,9218凱基大直,30.10,1000,0,,164,921J凱基土城,30.05,1000,0 
165,921S凱基幸福,30.20,0,2000,,166,921Y凱基東勢,30.05,0,27 
167,9223凱基豐中,30.20,0,1000,,168,9225凱基內埔,30.10,0,1000 
169,9234凱基竹北,30.10,0,5000,,170,9266凱基新豐,30.05,0,4000 
171,9268凱基台北,30.10,22000,5000,,172,9268凱基台北,30.20,3000,4000 
173,9274凱基鳳山,30.10,1000,0,,174,9276凱基苗栗,30.05,1,0 
175,9283凱基北門,30.05,0,7000,,176,9297凱基文心,30.20,0,1000 
177,9300華南永昌,30.05,0,547,,178,9308華南麻豆,30.10,1000,2000 
179,9316華南淡水,30.10,2000,0,,180,9322華南公誠,30.10,0,10000 
181,9326華南南京,30.05,0,10000,,182,9326華南南京,30.20,0,1000 
183,9331華南鳳山,30.10,1000,0,,184,9347華南敦南,30.10,0,1000 
185,9349華南合泰,30.10,0,1000,,186,9362華南苗栗,30.05,100,0 
187,9363華南彰化,30.20,0,1000,,188,9604富邦陽明,30.10,0,2000 
189,9608富邦台東,30.10,0,1000,,190,9623富邦台北,30.05,4000,0 
191,9623富邦台北,30.10,3050,0,,192,9623富邦台北,30.15,0,1000 
193,9625富邦竹東,30.10,0,1000,,194,9627富邦內湖,30.20,0,1000 
195,9647富邦新竹,30.10,0,1000,,196,9655富邦板橋,30.10,0,1000 
197,9658富邦建國,30.10,0,1000,,198,9663富邦敦南,30.10,0,3000 
199,9663富邦敦南,30.20,0,30,,200,9665富邦桃園,30.05,0,2000 
201,9666富邦南屯,30.05,1000,1000,,202,9666富邦南屯,30.10,3000,12000 
203,9666富邦南屯,30.15,0,1000,,204,9666富邦南屯,30.20,0,4000 
205,9672富邦員林,30.00,0,20,,206,9676富邦仁愛,30.10,5000,0 
207,9676富邦仁愛,30.20,0,1000,,208,9693富邦新營,30.05,150,0 
209,9800元大,30.10,3000,0,,210,9801元大城東,30.10,0,6000 
211,980a元大承德,30.10,10000,0,,212,980a元大承德,30.20,0,1000 
