,序號,券商,價格,買進股數,賣出股數
0,1,1020合　　庫,24.65,0,2000
1,2,1020合　　庫,24.70,0,1000
2,3,1020合　　庫,24.75,1000,1000
3,4,1020合　　庫,24.80,0,3000
4,5,1020合　　庫,24.85,0,5000
5,6,1021合庫台中,24.70,1000,5000
6,7,1021合庫台中,24.75,7000,0
7,8,1021合庫台中,24.80,0,1000
8,9,1021合庫台中,24.85,0,1000
9,10,1022合庫台南,24.65,1000,0
10,11,1022合庫台南,24.75,0,1000
11,12,1022合庫台南,24.85,0,4000
12,13,1023合庫高雄,24.70,0,2000
13,14,1023合庫高雄,24.75,6000,0
14,15,1024合庫嘉義,24.70,2000,0
15,16,1024合庫嘉義,24.75,0,300
16,17,1024合庫嘉義,24.85,0,2
17,18,1025合庫基隆,24.70,0,11000
18,19,1025合庫基隆,24.75,1000,0
19,20,1025合庫基隆,24.85,0,3000
20,21,1028合庫彰化,24.70,0,2000
21,22,1028合庫彰化,24.75,1000,0
22,23,1028合庫彰化,24.85,0,2000
23,24,1029合庫鳳山,24.70,1000,0
24,25,1029合庫鳳山,24.75,0,5000
25,26,102C合庫自強,24.65,1000,0
26,27,102C合庫自強,24.70,0,2000
27,28,102C合庫自強,24.75,2000,0
28,29,102C合庫自強,24.85,0,2000
29,30,102E合庫桃園,24.75,2000,40000
30,31,102E合庫桃園,24.80,0,7000
31,32,102F合庫西台,24.70,0,2000
32,33,102F合庫西台,24.75,0,19000
33,34,1030土　　銀,24.85,693,0
34,35,1035土銀新竹,24.70,0,1000
35,36,1035土銀新竹,24.85,3000,0
36,37,1039土銀士林,24.80,0,2000
37,38,103A土銀建國,24.75,1000,1000
38,39,103C土銀白河,24.70,1000,0
39,40,103C土銀白河,24.75,2000,0
40,41,103F土銀南港,24.80,2000,0
41,42,1040臺    銀,24.65,0,1000
42,43,1040臺    銀,24.70,1000,0
43,44,1040臺    銀,24.75,5000,1000
44,45,1040臺    銀,24.80,0,5000
45,46,1040臺    銀,24.85,0,1000
46,47,1041臺銀鳳山,24.65,1000,0
47,48,1041臺銀鳳山,24.70,100,0
48,49,1041臺銀鳳山,24.75,2000,1000
49,50,1042臺銀臺南,24.70,1000,42
50,51,1042臺銀臺南,24.75,0,1000
51,52,1042臺銀臺南,24.80,0,3000
52,53,1042臺銀臺南,24.85,0,1000
53,54,1043臺銀民權,24.65,2000,0
54,55,1043臺銀民權,24.70,4300,3000
55,56,1043臺銀民權,24.75,0,3000
56,57,1043臺銀民權,24.80,0,15000
57,58,1043臺銀民權,24.85,0,2000
58,59,1045臺銀新竹,24.65,7000,0
59,60,1045臺銀新竹,24.75,3000,0
60,61,1045臺銀新竹,24.80,0,1000
61,62,1045臺銀新竹,24.85,0,7000
