,序號,券商,價格,買進股數,賣出股數
0,1,1020合　　庫,36.40,1000,0
1,2,1020合　　庫,36.55,1000,0
2,3,1021合庫台中,36.35,3000,0
3,4,1024合庫嘉義,36.65,0,1000
4,5,102C合庫自強,37.00,2000,0
5,6,102E合庫桃園,36.50,2000,0
6,7,102F合庫西台,36.75,0,100
7,8,1034土銀嘉義,36.45,1000,0
8,9,1034土銀嘉義,36.60,0,1000
9,10,1035土銀新竹,36.50,0,3000
10,11,103C土銀白河,36.80,1000,0
11,12,103F土銀南港,36.40,1000,0
12,13,1040臺    銀,36.45,1000,0
13,14,1041臺銀鳳山,36.65,0,300
14,15,1041臺銀鳳山,36.80,1000,0
15,16,1042臺銀臺南,36.35,1000,0
16,17,1042臺銀臺南,36.50,1100,0
17,18,1042臺銀臺南,37.00,0,2000
18,19,1043臺銀民權,36.35,1000,0
19,20,1043臺銀民權,36.45,0,4000
20,21,1045臺銀新竹,36.30,3000,0
21,22,1045臺銀新竹,36.45,1000,0
22,23,1045臺銀新竹,36.85,1000,0
23,24,104A臺銀臺中,36.40,1000,0
24,25,104D臺銀金山,36.35,0,2000
25,26,104D臺銀金山,36.45,1000,0
26,27,104D臺銀金山,36.50,250,2000
27,28,104D臺銀金山,36.55,2000,0
28,29,104D臺銀金山,36.80,1000,0
29,30,1110企    銀,36.50,2000,0
30,31,1110企    銀,36.90,1000,0
31,32,1118企銀豐原,36.50,1000,0
32,33,111B台企建成,36.50,1000,0
33,34,1160日    盛,36.60,1000,0
34,35,1160日    盛,36.65,1000,0
35,36,1160日    盛,37.00,0,1000
36,37,1162日盛台南,36.75,0,2000
37,38,1163日盛台中,36.50,1000,0
38,39,1163日盛台中,36.60,1000,0
39,40,1165日盛板橋,36.40,1000,0
40,41,116B日盛中壢,36.50,1000,0
41,42,116B日盛中壢,36.65,10000,0
42,43,116B日盛中壢,36.75,20000,0
43,44,116C日盛八德,37.00,0,80
44,45,116d日盛三峽,37.00,0,1100
45,46,116G日盛景美,36.35,1000,0
46,47,116G日盛景美,36.50,0,10000
47,48,116G日盛景美,36.65,0,1000
48,49,116G日盛景美,36.95,1000,0
49,50,116H日盛新竹,37.10,0,25
50,51,116I日盛南京,36.80,3000,0
51,52,116j日盛頭份,36.35,1000,5000
52,53,116J日盛中山,36.60,78,0
53,54,116K日盛花蓮,36.50,0,5134
54,55,116K日盛花蓮,36.60,0,5726
55,56,116K日盛花蓮,36.70,0,240
56,57,116L日盛大墩,36.75,200,0
57,58,116U日盛桃園,37.00,659,0
58,59,116W日盛鳳山,36.50,1000,0
59,60,116Z日盛中和,36.85,0,2000
60,61,1233彰銀台中,37.00,0,9000
61,62,126D宏遠台南,36.75,1000,0
62,63,126U宏遠館前,36.35,1000,0
63,64,126U宏遠館前,36.40,2000,0
64,65,126U宏遠館前,36.55,3000,0
65,66,126U宏遠館前,36.65,2000,0
66,67,126U宏遠館前,36.95,0,3000
67,68,1360港麥格理,36.85,8000,0
68,69,1440美林,36.45,1000,1000
69,70,1440美林,36.50,12000,0
70,71,1440美林,36.55,5000,1000
71,72,1440美林,36.60,6000,0
72,73,1440美林,36.65,5000,4000
73,74,1440美林,36.70,1000,1000
74,75,1440美林,36.75,3000,2000
75,76,1440美林,36.80,2000,0
76,77,1440美林,36.85,4000,0
77,78,1440美林,36.90,1000,0
78,79,1440美林,37.00,2000,0
79,80,1470台灣摩根,36.35,1000,0
80,81,1470台灣摩根,36.40,1000,8000
81,82,1470台灣摩根,36.50,1000,0
82,83,1470台灣摩根,36.55,1000,0
83,84,1470台灣摩根,36.60,1000,1000
84,85,1470台灣摩根,36.65,3000,0
85,86,1470台灣摩根,36.70,1000,0
86,87,1470台灣摩根,36.75,1000,0
87,88,1470台灣摩根,36.80,3000,4000
88,89,1470台灣摩根,36.85,4000,1000
89,90,1470台灣摩根,36.90,1000,1000
90,91,1470台灣摩根,36.95,3000,0
91,92,1470台灣摩根,37.00,9000,0
92,93,1480美商高盛,36.35,1000,0
93,94,1480美商高盛,36.40,1000,0
94,95,1480美商高盛,36.45,5000,0
95,96,1480美商高盛,36.50,9000,47000
96,97,1480美商高盛,36.55,3000,1000
97,98,1480美商高盛,36.60,1000,0
98,99,1480美商高盛,36.65,3000,0
99,100,1480美商高盛,36.75,1000,0
100,101,1480美商高盛,36.85,6000,1000
101,102,1480美商高盛,36.90,1000,0
102,103,1480美商高盛,37.00,0,2000
103,104,1520瑞士信貸,36.35,0,6000
104,105,1520瑞士信貸,36.40,0,35000
105,106,1520瑞士信貸,36.45,0,12000
106,107,1520瑞士信貸,36.50,0,18000
107,108,1520瑞士信貸,36.55,0,25000
108,109,1520瑞士信貸,36.60,0,26000
109,110,1520瑞士信貸,36.65,0,27000
110,111,1520瑞士信貸,36.80,0,13000
111,112,1520瑞士信貸,36.85,0,14000
112,113,1520瑞士信貸,36.90,0,6000
113,114,1520瑞士信貸,36.95,0,4000
114,115,1520瑞士信貸,37.00,0,44000
115,116,1590花旗環球,36.60,0,2000
116,117,1590花旗環球,36.65,0,4000
117,118,1590花旗環球,36.70,0,7000
118,119,1590花旗環球,36.75,0,3000
119,120,1590花旗環球,36.85,2000,2000
120,121,1590花旗環球,36.90,1000,0
121,122,1590花旗環球,36.95,1000,0
122,123,1590花旗環球,37.00,5000,0
123,124,1650瑞銀,36.50,3000,0
124,125,1650瑞銀,36.55,2000,1000
125,126,1650瑞銀,36.60,5000,1000
126,127,1650瑞銀,36.65,15000,0
127,128,1650瑞銀,36.70,5000,0
128,129,1650瑞銀,36.75,2000,1000
129,130,1650瑞銀,36.80,2000,0
130,131,1650瑞銀,36.85,0,3000
131,132,2180亞    東,36.40,1000,0
132,133,2180亞    東,36.70,100,0
133,134,2180亞    東,37.00,0,100
134,135,2181亞東板橋,36.50,20000,0
135,136,2184亞東新竹,36.80,0,1000
136,137,2184亞東新竹,37.00,0,200
137,138,2185亞東台南,36.50,1000,0
138,139,2187亞東台中,36.55,2000,0
139,140,2187亞東台中,36.65,1000,0
140,141,2187亞東台中,36.80,0,1000
141,142,2187亞東台中,36.95,0,1000
142,143,2187亞東台中,37.00,0,2000
143,144,5261美好蘆洲,36.40,2000,0
144,145,5261美好蘆洲,36.50,1000,0
145,146,5261美好蘆洲,37.00,0,1100
146,147,526K美好富順,36.55,2000,0
147,148,526K美好富順,36.95,0,2000
148,149,5320高    橋,36.35,1000,0
149,150,5320高    橋,36.50,1000,0
150,151,5320高    橋,36.55,1000,0
151,152,5320高    橋,36.60,0,1000
152,153,5320高    橋,36.65,0,1000
153,154,5320高    橋,36.95,0,1000
154,155,5321高橋龍潭,36.55,0,2000
155,156,5321高橋龍潭,36.90,1000,0
156,157,5380第一金證,36.55,0,1000
157,158,5381第一員林,36.80,1000,0
158,159,5383第一高雄,36.30,1000,0
159,160,5385第一桃園,36.50,1000,0
160,161,5387第一澎湖,36.40,4000,0
161,162,5389第一中山,36.50,76,0
162,163,5389第一中山,36.55,76,0
163,164,538B第一新竹,36.50,1000,0
164,165,538C第一光復,36.40,1000,0
165,166,538C第一光復,36.50,1000,0
166,167,538D第一忠孝,36.40,0,8000
167,168,538D第一忠孝,36.90,50,0
168,169,538E第一自由,36.60,1000,0
169,170,538F第一稻埕,36.45,3000,0
170,171,538F第一稻埕,36.85,0,3000
171,172,538j第一安和,36.70,100,0
172,173,538N第一豐原,36.55,100,0
173,174,538W第一華江,36.60,0,2000
174,175,5660日    進,37.00,1000,0
175,176,5850統    一,36.80,0,5000
176,177,5850統    一,36.85,4000,1000
177,178,5850統    一,36.90,0,1000
178,179,5855統一台南,36.35,2000,0
179,180,5855統一台南,36.45,2000,0
180,181,5856統一台中,36.65,0,17000
181,182,5856統一台中,37.00,1000,600
182,183,5859統一屏東,36.50,10,0
183,184,585A統一基隆,36.45,1000,0
184,185,585A統一基隆,36.80,0,1000
185,186,585b統一內湖,36.60,2,0
186,187,585E統一新營,36.40,1000,0
187,188,585F統一彰化,36.55,0,3000
188,189,585J統一三重,36.90,5000,0
189,190,585S統一宜蘭,36.60,0,1000
190,191,585S統一宜蘭,37.00,0,100
191,192,585Z統一松江,36.80,0,2000
192,193,585Z統一松江,36.85,1000,0
193,194,5920元    富,36.65,1000,0
194,195,5920元    富,36.75,0,1000
195,196,5920元    富,36.80,0,1000
196,197,5920元    富,36.85,1000,0
197,198,5929元富台南,36.35,2000,0
198,199,5929元富台南,36.45,3000,0
199,200,5929元富台南,36.60,2000,0
200,201,592b元富板橋,36.55,0,13000
201,202,592b元富板橋,36.70,1,0
202,203,592b元富板橋,36.95,0,6000
203,204,592b元富板橋,37.00,10000,4000
204,205,592c元富烏日,36.60,0,2000
205,206,592c元富烏日,37.00,3000,0
206,207,592d元富延平,36.40,1000,0
207,208,592g元富中原,36.45,2000,0
208,209,592H元富信義,36.65,1000,0
209,210,592H元富信義,37.00,0,100
210,211,592i元富中港,36.40,1000,0
211,212,592l元富大裕,36.70,10000,0
212,213,592m元富成功,36.45,1000,0
213,214,592m元富成功,37.00,200,0
214,215,592M元富彰化,36.50,4000,0
215,216,592M元富彰化,37.00,50,0
216,217,592N元富虎尾,36.50,38,0
217,218,592N元富虎尾,36.55,2,0
218,219,592P元富同大,36.50,1000,0
219,220,592q元富屏東,36.90,1000,0
220,221,592Q元富敦南,36.50,0,7000
221,222,592Q元富敦南,36.55,0,1000
222,223,592Q元富敦南,36.60,0,1000
223,224,592Q元富敦南,36.65,0,2000
224,225,592Q元富敦南,36.70,0,1000
225,226,592Q元富敦南,36.80,0,2000
226,227,592Q元富敦南,36.85,0,3000
227,228,592Q元富敦南,36.90,0,1000
228,229,592Q元富敦南,36.95,0,2000
229,230,592Q元富敦南,37.00,0,1000
230,231,592r元富城東,36.50,40,0
231,232,592r元富城東,36.70,1,0
232,233,592r元富城東,37.00,2000,0
233,234,592u元富世貿,36.65,1000,0
234,235,592u元富世貿,36.90,2000,0
235,236,592w元富佳里,36.50,1000,0
236,237,592W元富吉利,36.50,100,0
237,238,592W元富吉利,36.70,30,0
238,239,592Y元富埔里,36.85,1000,0
239,240,592Z元富安南,37.00,20000,0
240,241,5960日    茂,36.80,1000,0
241,242,6012★亞網路,36.65,1000,0
242,243,601d亞鑫豐,36.40,1000,0
243,244,601d亞鑫豐,36.45,1000,0
244,245,601d亞鑫豐,36.50,2000,0
245,246,601d亞鑫豐,36.60,0,2000
246,247,601d亞鑫豐,36.65,0,1000
247,248,601d亞鑫豐,36.70,0,1300
248,249,601d亞鑫豐,36.75,0,1000
249,250,601d亞鑫豐,36.80,1000,1000
250,251,601d亞鑫豐,36.85,2000,2000
251,252,6114中銀員林,36.65,3000,0
252,253,6115中銀台北,36.50,1000,0
253,254,6115中銀台北,36.75,0,1000
254,255,6160中國信託,36.80,1000,0
255,256,6161中信三重,36.80,0,10000
256,257,6161中信三重,36.85,0,10000
257,258,6162中信託忠,36.50,6000,0
258,259,6164中信託文,36.35,1000,0
259,260,6164中信託文,36.45,1000,0
260,261,6164中信託文,36.60,1000,0
261,262,6165中信託新,36.50,1000,0
262,263,6168中信嘉義,36.35,1000,0
263,264,6380光    和,36.45,0,3000
264,265,6380光    和,36.50,0,10000
265,266,6383光和和美,36.65,0,100
266,267,638D光和高雄,36.50,10000,0
267,268,638D光和高雄,37.00,100,2000
268,269,6460大    昌,36.35,3000,0
269,270,6460大    昌,36.45,3000,0
270,271,6460大    昌,36.50,1000,0
271,272,6460大    昌,36.55,2000,1000
272,273,6460大    昌,36.60,2000,0
273,274,6460大    昌,36.65,0,10000
274,275,6460大    昌,36.95,0,9000
275,276,6460大    昌,37.00,1000,4391
276,277,6462大昌安康,36.50,1000,0
277,278,6464大昌新店,36.35,5000,0
278,279,6464大昌新店,36.40,5000,0
279,280,6464大昌新店,36.45,4000,0
280,281,6464大昌新店,36.50,5000,0
281,282,6464大昌新店,36.55,4000,0
282,283,6464大昌新店,36.60,2000,0
283,284,6464大昌新店,36.65,2000,0
284,285,6464大昌新店,36.70,0,1000
285,286,6464大昌新店,36.75,0,1000
286,287,6464大昌新店,36.80,0,3000
287,288,6464大昌新店,36.85,0,2000
288,289,6464大昌新店,36.90,0,2000
289,290,6464大昌新店,36.95,0,2000
290,291,6464大昌新店,37.00,0,4000
291,292,6465大昌桃園,37.00,0,1000
292,293,6950福    勝,36.60,0,1000
293,294,7000兆豐,36.85,0,3200
294,295,7001兆豐嘉義,36.40,0,5000
295,296,7005兆豐中港,36.40,0,3000
296,297,7005兆豐中港,36.50,1000,0
297,298,7005兆豐中港,37.00,30000,0
298,299,7006兆豐台南,36.35,1000,0
299,300,7006兆豐台南,36.40,2000,0
300,301,7006兆豐台南,37.00,0,2000
301,302,7007兆豐竹北,36.80,0,1000
302,303,7009兆豐景美,36.50,8000,0
303,304,700a兆豐忠孝,36.50,1000,0
304,305,700B兆豐板橋,36.45,1000,0
305,306,700B兆豐板橋,36.50,1000,0
306,307,700B兆豐板橋,36.60,0,1000
307,308,700f兆豐鹿港,36.40,1000,0
308,309,700f兆豐鹿港,37.00,200,0
309,310,700g兆豐南門,36.35,1000,0
310,311,700g兆豐南門,36.40,1000,0
311,312,700g兆豐南門,36.65,0,1000
312,313,700g兆豐南門,36.70,0,1000
313,314,700g兆豐南門,36.95,0,1000
314,315,700g兆豐南門,37.00,0,1000
315,316,700h兆豐三民,37.00,0,1000
316,317,700I兆豐北高,36.40,1000,0
317,318,700j兆豐大安,36.70,1000,0
318,319,700K兆豐新營,36.80,1000,0
319,320,700K兆豐新營,37.00,10000,0
320,321,700M兆豐桃園,36.45,0,1000
321,322,700M兆豐桃園,36.65,0,100
322,323,700M兆豐桃園,36.70,500,0
323,324,700V兆豐新竹,36.45,0,12000
324,325,700W兆豐城中,36.70,0,2000
325,326,700X兆豐永和,36.30,1000,0
326,327,700X兆豐永和,37.00,0,1000
327,328,700Z兆豐高雄,36.70,1000,0
328,329,7032致和佳里,36.45,1000,0
329,330,7032致和佳里,37.00,0,1000
330,331,7035致和東門,36.65,431,0
331,332,703B致和崇德,36.50,2000,0
332,333,7070豐    農,36.50,1000,0
333,334,7750北    城,36.50,0,500
334,335,7790國票綜合,36.55,0,2000
335,336,7790國票綜合,37.00,2252,0
336,337,779D國票台南,37.00,0,100
337,338,779E國票南崁,36.60,1000,0
338,339,779E國票南崁,37.00,0,2000
339,340,779m國票中港,36.30,1000,0
340,341,779P國票九鼎,36.70,0,100
341,342,779V國票天祥,36.70,0,1000
342,343,779X國票中和,36.40,1000,0
343,344,779X國票中和,36.50,1000,0
344,345,779X國票中和,36.70,0,1000
345,346,779X國票中和,36.80,0,1000
346,347,779X國票中和,36.85,0,1000
347,348,779X國票中和,36.95,0,1000
348,349,779X國票中和,37.00,0,1000
349,350,779z國票博愛,37.00,50,0
350,351,779Z國票安和,36.50,0,1000
351,352,779Z國票安和,36.95,1000,0
352,353,8150台    新,36.35,3000,0
353,354,8150台    新,36.40,2000,0
354,355,8150台    新,36.45,3000,0
355,356,8150台    新,36.50,3000,5000
356,357,8150台    新,36.55,0,4000
357,358,8150台    新,36.60,1000,4000
358,359,8150台    新,36.65,0,3000
359,360,8150台    新,36.70,1000,0
360,361,8150台    新,36.80,1000,0
361,362,8150台    新,36.85,0,1000
362,363,8150台    新,36.95,5070,0
