,排  名,代號,名稱,市  場,股價  日期,K  線,成交,漲跌  價,漲跌  幅,成交  張數,成交額  (百萬),昨收,開盤,最高,最低,振幅  (%),PER,PBR,一個月  走勢圖,三個月  走勢圖,一年  走勢圖,三年  走勢圖
0,1,2303,聯電,市,01/17,,64.3,+1.6,+2.55,155223,9906,62.7,63.1,64.4,63,2.23,15.4,3.1,,,,
2,3,2883,開發金,市,01/17,,18.9,+0.05,+0.27,143204,2713,18.85,19,19.25,18.75,2.65,8.18,1.28,,,,
6,7,2610,華航,市,01/17,,25.95,+0.4,+1.57,63421,1622,25.55,25.35,25.95,25.1,3.33,38.7,2.35,,,,
7,8,2330,台積電,市,01/17,,683,+11,+1.64,61202,41825,672,685,688,678,1.49,30.9,8.53,,,,
8,9,2368,金像電,市,01/17,,81.9,+7.3,+9.79,59931,4815,74.6,75.2,82,75,9.38,18,4.22,,,,
9,10,3714,富采,市,01/17,,94.2,+6.2,+7.05,57096,5245,88,89,94.2,88.8,6.14,,1.25,,,,
12,13,2498,宏達電,市,01/17,,70.6,+1.6,+2.32,51780,3680,69,71.6,72.7,69.8,4.2,,2.1,,,,
15,16,2618,長榮航,市,01/17,,25.9,+0.45,+1.77,41454,1059,25.45,25.25,26.05,25.1,3.73,,1.77,,,,
17,18,00715L,期街口布蘭特正2,市,01/17,,12.34,+0.47,+3.96,40062,496,11.87,12.39,12.45,12.29,1.35,,,,,,
20,20,3035,智原,市,01/17,,214.5,+1.5,+0.7,38842,8231,213,210,215,207.5,3.52,76.3,7.27,,,,
24,24,1316,上曜,市,01/17,,23.7,+2.15,+9.98,33657,777,21.55,23.15,23.7,22.1,7.42,,2.25,,,,
27,27,00830,國泰費城半導體,市,01/17,,34.61,+0.91,+2.7,29735,1025,33.7,34.3,34.61,34.28,0.98,,,,,,
28,28,2340,台亞,市,01/17,,63.2,+1.8,+2.93,29579,1879,61.4,61.9,65.3,61.3,6.51,28.1,2.97,,,,
29,29,00881,國泰台灣5G+,市,01/17,,19.06,+0.28,+1.49,29115,553,18.78,18.9,19.06,18.87,1.01,,,,,,
31,31,00701,國泰股利精選30,市,01/17,,28.38,+0.03,+0.11,27101,769,28.35,28.5,28.51,28.27,0.85,,,,,,
33,33,2312,金寶,市,01/17,,15.95,+0.55,+3.57,25867,411,15.4,15.4,16.2,15.4,5.19,,1.43,,,,
35,35,2449,京元電子,市,01/17,,46.9,+2.5,+5.63,24667,1139,44.4,44.5,46.9,44.45,5.52,13.6,1.79,,,,
36,36,2642,宅配通,市,01/17,,96.2,+2.1,+2.23,24528,2370,94.1,94.1,100,94,6.38,36.6,3.39,,,,
38,37,3037,欣興,市,01/17,,221.5,+1.5,+0.68,23284,5184,220,222.5,225.5,221,2.05,31.6,5.91,,,,
42,41,2344,華邦電,市,01/17,,30.6,+0.9,+3.03,20412,618,29.7,29.75,30.65,29.7,3.2,12.5,1.6,,,,
45,44,4919,新唐,市,01/17,,131,+7,+5.65,18620,2399,124,126,133,122.5,8.47,27.3,3.76,,,,
46,45,2883B,開發金乙特,市,01/17,,9.44,+0.13,+1.4,18484,174,9.31,9.31,9.47,9.31,1.72,,,,,,
47,46,2313,華通,市,01/17,,43.85,+1.65,+3.91,18044,785,42.2,42.4,44.1,42.2,4.5,11.9,1.73,,,,
48,47,00642U,期元大S&P石油,市,01/17,,14.82,+0.38,+2.63,17978,267,14.44,14.82,14.89,14.79,0.69,,,,,,
50,49,2426,鼎元,市,01/17,,29.8,+0.5,+1.71,17374,512,29.3,28.9,29.85,28.85,3.41,36.3,2.28,,,,
53,52,2393,億光,市,01/17,,54.6,+2.8,+5.41,17117,926,51.8,52,55.7,51.8,7.53,12.1,1.33,,,,
55,54,6278,台表科,市,01/17,,141,+5,+3.68,16810,2326,136,136.5,141,134,5.15,13.1,2.82,,,,
60,58,9105,泰金寶-DR,市,01/17,,4.9,+0.1,+2.08,15677,77.2,4.8,4.8,5,4.8,4.17,,,,,,
61,59,3231,緯創,市,01/17,,30.15,+0.3,+1.01,15484,466,29.85,29.9,30.2,29.85,1.17,11.3,1.25,,,,
62,60,3583,辛耘,市,01/17,,104,+1.5,+1.46,15304,1599,102.5,103.5,107,102,4.88,20.8,2.8,,,,
63,61,2457,飛宏,市,01/17,,45.6,+1.45,+3.28,15216,695,44.15,44.2,46.9,44,6.57,,3.55,,,,
65,63,2323,中環,市,01/17,,12.2,+0.4,+3.39,14958,182,11.8,12,12.3,12,2.54,,0.79,,,,
66,64,2371,大同,市,01/17,,30.2,+0.35,+1.17,14936,446,29.85,29.75,30.35,29.35,3.35,378,1.98,,,,
69,67,3711,日月光投控,市,01/17,,108,+2.5,+2.37,14083,1510,105.5,106.5,108.5,106,2.37,10.8,1.98,,,,
77,74,2324,仁寶,市,01/17,,25.3,+0.15,+0.6,13452,338,25.15,25.05,25.3,25,1.19,7.86,1.02,,,,
78,75,8110,華東,市,01/17,,18.7,+1.7,+10,13405,246,17,17.1,18.7,17.05,9.71,77.9,0.89,,,,
80,77,0056,元大高股息,市,01/17,,33.22,+0.07,+0.21,13123,435,33.15,33.15,33.23,33.05,0.54,,,,,,
84,81,1314,中石化,市,01/17,,12.95,+0.15,+1.17,12314,159,12.8,12.85,12.95,12.8,1.17,10.6,0.57,,,,
86,83,3059,華晶科,市,01/17,,46.5,+2.55,+5.8,11834,542,43.95,44.65,46.6,44.3,5.23,54.7,1.48,,,,
88,85,6438,迅得,市,01/17,,123,+7.5,+6.49,11445,1398,115.5,118,126,116,8.66,12.7,2.79,,,,
91,88,1721,三晃,市,01/17,,24.05,+0.75,+3.22,10754,257,23.3,23.45,24.65,22.95,7.3,,1.95,,,,
