,排  名,代號,名稱,成交,漲跌  價,漲跌  幅,更新  日期,成交  價  歷日  排名,成交  價  創高  創低  日數,成交  張數,成交  張數  歷日  排名,成交  張數  創高  創低  日數,成交  金額  (百萬),成交  金額  歷日  排名,成交  金額  創高  創低  日數,1個月  走勢圖,3個月  走勢圖,1年  走勢圖,3年  走勢圖
0,1,6139,亞翔,240.5,+14.5,+6.42,03/29,+1,+5484,40146,+1,+5484,9250,+1,+5484,,,,
1,2,6121,新普,448,-3.5,-0.78,03/29,+15,-3,8580,+26,+1777,3844,+1,+5499,,,,
2,3,6144,得利影,18.35,+1.65,+9.88,03/29,+130,+538,255,+127,+1044,4.53,+88,+538,,,,
3,4,3293,鈊象,1140,+15,+1.33,03/29,+2,+8,5978,+50,+912,6728,+1,+4363,,,,
4,5,3015,全漢,59.4,+2.5,+4.39,03/29,+182,+4104,4844,+95,+714,291,+52,+714,,,,
5,6,2385,群光,222,+0.5,+0.23,03/29,+13,+4,21672,+2,+692,4828,+3,+8,,,,
6,7,4562,穎漢,19.55,+1.4,+7.71,03/29,+735,+645,6213,+2,+691,122,+2,+691,,,,
7,8,1341,富林-KY,64,-0.6,-0.93,03/29,-614,-15,102,+15,+656,6.54,+14,+656,,,,
8,9,3551,世禾,129,+8,+6.61,03/29,+1,+24,7173,+6,+631,886,+1,+4214,,,,
11,12,8103,瀚荃,47.7,+1.1,+2.36,03/29,+914,+504,2804,+249,+396,135,+225,+507,,,,
12,13,4764,雙鍵,34.75,-1.45,-4.01,03/29,-1,-1821,141,+215,+297,4.96,+356,+212,,,,
13,14,3710,連展投控,10.7,-0.05,-0.47,03/29,+426,-2,6195,+118,+247,66.8,+132,+247,,,,
14,15,6606,建德工業,27.2,+0.6,+2.26,03/29,+67,+179,793,+7,+230,21.7,+7,+230,,,,
15,16,3095,及成,33.5,+1.75,+5.51,03/29,+751,+262,52,-1413,+221,1.7,-2269,+237,,,,
16,17,8463,潤泰材,26,+1.25,+5.05,03/29,+933,+180,643,+196,+219,16.7,+238,+219,,,,
17,18,6666,羅麗芬-KY,69.6,+6.3,+9.95,03/29,-363,+123,247,+182,+216,16.9,+313,+175,,,,
19,19,5876,上海商銀,48.35,+0.1,+0.21,03/29,+353,+316,23673,+10,+202,1142,+12,+202,,,,
20,20,1796,金穎生技,64.7,-2.2,-3.29,03/29,+298,-2,881,+31,+195,57.8,+53,+194,,,,
21,21,2603,長榮,172,-4,-2.27,03/29,+29,-3,118411,+347,+180,20709,+163,+180,,,,
22,22,8255,朋程,184,+5.5,+3.08,03/29,+411,+55,4300,+124,+175,787,+134,+175,,,,
23,23,6649,台生材,31.1,+2.8,+9.89,03/29,-564,+40,360,+75,+174,10.9,+99,+174,,,,
24,24,3052,夆典,13.35,+0.45,+3.49,03/29,+1853,+155,5083,+242,+153,68.1,+353,+153,,,,
25,25,4190,佐登-KY,55.3,+4.1,+8.01,03/29,-34,+19,389,+598,+152,21.1,+839,+143,,,,
26,26,2421,建準,131,-0.5,-0.38,03/29,+34,-3,52782,+7,+149,7205,+6,+149,,,,
27,27,4935,茂林-KY,51.9,+1.5,+2.98,03/29,+1451,+25,433,-1358,+148,22.4,-1444,+148,,,,
28,28,2382,廣達,293.5,+13.5,+4.82,03/29,+187,+5931,135672,+10,+144,39254,+5,+144,,,,
29,29,6213,聯茂,98.3,+8.9,+9.96,03/29,+757,+139,34080,+4,+139,3303,+6,+139,,,,
30,30,5371,中光電,80.4,+2.2,+2.81,03/29,+152,+125,12655,+545,+130,1022,+142,+130,,,,
31,31,3617,碩天,243,+4.5,+1.89,03/29,+32,+111,3553,+37,+92,881,+32,+92,,,,
32,32,4946,辣椒,49.5,+4.5,+10,03/29,+1227,+11,112,+1303,+82,5.46,+1235,+82,,,,
33,33,1216,統一,77.5,+1.1,+1.44,03/29,+103,+10,28190,+275,+77,2168,+35,+77,,,,
34,34,8390,金益鼎,56.9,+3,+5.57,03/29,+79,+159,4305,+104,+75,245,+59,+75,,,,
35,35,8450,霹靂,23.25,-0.3,-1.27,03/29,-202,-3,263,+407,+75,6.12,+712,+75,,,,
36,36,2468,華經,30.3,+0.35,+1.17,03/29,+367,+63,5837,+82,+73,182,+63,+73,,,,
38,37,3043,科風,32,+0.6,+1.91,03/29,+2233,+11,793,+2157,+69,26.1,+1879,+69,,,,
39,38,2392,正崴,46.4,+0.4,+0.87,03/29,-2042,+2,10670,+311,+68,507,+851,+68,,,,
40,39,2492,華新科,113,+1.5,+1.35,03/29,+1247,+25,12471,+808,+66,1432,+613,+66,,,,
41,40,2540,愛山林,98.1,+4.5,+4.81,03/29,+129,+12,1387,+620,+66,132,+21,+67,,,,
42,41,2027,大成鋼,36.5,-0.6,-1.62,03/29,+1362,-3,15020,+672,+63,550,+623,+63,,,,
43,42,2474,可成,219,+1.5,+0.69,03/29,+2090,+6,7252,+1767,+62,1581,+1626,+77,,,,
44,43,8054,安國,146,+3,+2.1,03/29,+173,+17,32743,+13,+61,4928,+3,+30,,,,
45,44,8342,益張,76,+2.3,+3.12,03/29,+1,+1652,102,+48,+61,7.63,+25,+61,,,,
46,45,6129,普誠,27.25,-0.3,-1.09,03/29,+1769,-2,2951,+1125,+57,81.9,+1202,+53,,,,
49,48,2701,萬企,12.4,-0.1,-0.8,03/29,-1695,-3,516,+2395,+44,6.4,+2961,+44,,,,
50,49,9929,秋雨,14.85,-0.1,-0.67,03/29,+1743,-4,201,+3199,+44,2.97,+2274,+44,,,,
51,50,3231,緯創,125,+4.5,+3.73,03/29,+21,+29,241803,+14,+41,30358,+10,+41,,,,
52,51,3666,光耀,27.05,+2.45,+9.96,03/29,+742,+52,2295,+122,+40,60.2,+204,+40,,,,
53,52,1319,東陽,125,0,0,03/29,+2,0,25733,+24,+38,3163,+3,+130,,,,
54,53,6462,神盾,272.5,+17.5,+6.86,03/29,+101,+17,20698,+16,+34,5566,+4,+34,,,,
55,54,1324,地球,14.55,-0.3,-2.02,03/29,+2213,-116,938,+333,+32,13.7,+490,+32,,,,
