,排  名,代號,名稱,成交,財報  季度,市值  (億),現金  (億),應收  帳款  (億),存貨  (億),速動  資產  (億),流動  資產  (億),投資  (億),固定  資產  (億),無形  資產  (億),其他  資產  (億),資產  總額  (億),流動  負債  (億),長期  負債  (億),其他  負債  (億),負債  總額  (億),股東  權益  (億),每股  淨值  (元),財報  評分
0,1,3008,大立光,2230,22Q4,2976,1102,86.8,51.9,1233,1292,18.1,378,1.49,155,1850,294,,0.65,299,1551,1162.14,87
1,2,2327,國巨,500,22Q4,2106,394,245,269,818,1117,268,599,722,17.9,2772,949,463,84.7,1556,1215,290.8,64
2,3,2357,華碩,266,22Q4,1976,693,926,1425,1675,3222,1040,195,20.6,31.3,4712,2227,1.45,22,2443,2269,285.93,34
3,4,2454,聯發科,770,22Q4,12317,1475,567,707,2215,2977,1256,539,735,374,6084,1416,0,38.8,1653,4431,276.51,77
4,5,2603,長榮,162,22Q4,3429,3919,280,77.1,4711,4839,540,2111,13.4,311,8875,1649,532,52.4,3050,5826,260.92,94
5,6,6510,精測,580,22Q4,190,30.2,7.74,4.4,38,44.1,,44.9,0.62,0.07,90.4,10.5,,0.02,10.8,79.6,240.44,70
6,7,2474,可成,187,22Q4,1336,575,104,33.9,1852,1890,337,143,0.23,1.03,2416,692,,0.17,758,1658,232.05,66
7,8,4966,譜瑞-KY,1065,22Q4,865,69.8,10.7,44.7,80.4,131,,4.96,31.6,47.6,221,42.6,,,43.4,177,224.82,75
8,9,6669,緯穎,963,22Q4,1684,262,211,360,473,841,1.99,21.6,1.38,6.58,888,386,94.4,9.6,501,388,221.84,49
9,10,5269,祥碩,1260,22Q4,874,23.6,8.51,11.6,38.2,57.7,112,4.98,1.35,0.26,178,24.4,,0.01,24.8,153,220.74,74
10,11,3533,嘉澤,888,22Q3,943,57.6,112,35.3,170,208,1.66,87.5,1.9,6.79,318,78,7.9,0.24,90.9,227,198.08,74
11,12,8299,群聯,356.5,22Q4,709,170,75.7,204,254,459,44.4,76,3.75,6.6,600,176,35.8,10.4,224,376,196.19,51
12,13,1590,亞德客-KY,1145,22Q4,2290,63.5,90.7,72.5,157,233,0.25,288,0.41,10.8,546,149,0,,157,389,194.63,70
13,14,6121,新普,295.5,22Q3,547,185,156,224,421,652,6.94,83.6,1.15,36.8,787,359,,0.11,391,396,184.43,55
14,15,3661,世芯-KY,1245,22Q3,887,65.6,17.7,68.6,101,178,3.62,9.05,1.14,1.52,196,67.4,,0.23,68.5,127,177.71,62
15,16,3592,瑞鼎,410.5,22Q4,311,84.2,29,37.1,117,190,5.28,3.38,3.43,11,216,72,3.64,9.22,86.4,129,170.55,68
16,17,3406,玉晶光,392,22Q3,442,19,66.9,28.1,87.4,122,5.18,178,0.64,41.3,361,79.8,48.2,16,170,191,169.44,53
17,18,2059,川湖,369,22Q4,352,116,18.7,9.2,146,155,,29.6,0.02,1.07,192,19.7,8.95,0.36,36,156,164.1,93
19,19,6271,同欣電,196.5,22Q4,316,75,22.3,17.9,100,120,27.4,107,84.5,0.32,343,40.1,52,2.66,97.4,245,152.5,77
20,20,2247,汎德永業,239,22Q3,193,66.4,9.94,27,76.4,117,1.14,50.5,0.04,1.42,202,51.9,,0.89,83.6,118,146.43,55
21,21,6781,AES-KY,804,22Q3,687,34.4,25.8,53.5,103,160,0.22,12,0.59,28.7,204,78.3,,0,82,122,142.86,64
22,22,6763,綠界科技,469,22Q4,84,8.32,8.33,,37.5,56.7,3.11,0.13,0.02,1.38,61.4,35.8,,0.65,36.4,25,139.68,64
23,23,3665,貿聯-KY,273,22Q3,417,65.7,118,129,187,323,10.7,89.2,66.5,10,527,138,143,10,317,210,134.06,47
24,24,6414,樺漢,237,22Q3,251,140,201,245,450,759,27.1,66.2,201,15.5,1120,565,152,10.4,766,354,128.12,40
25,25,6488,環球晶,506,22Q4,2202,805,102,85.4,907,1096,104,395,23.7,44.6,1695,358,713,35.3,1152,543,124.81,77
26,26,4766,南寶,137,22Q3,165,35.2,52.9,28.4,94.8,131,50.1,53.7,3.68,1.47,253,63.5,14.2,0.45,92.9,160,123.59,49
27,27,4583,台灣精銳,211,22Q4,169,24.5,3.99,14.6,28.5,64.1,,37.1,2.24,0.41,110,6.13,0,0.06,12,97.9,122.06,86
28,28,1565,精華,261.5,22Q3,132,18.9,7.39,12.5,26.3,39.4,0.15,36.7,0.02,1.25,79.1,13.6,4.18,,18.4,60.7,120.37,70
29,29,2330,台積電,512,22Q4,132774,13428,2314,2211,17929,20529,689,26938,260,120,49648,9442,8391,1902,20043,29605,113.6,89
30,30,6719,力智,322.5,22Q4,252,33.3,4.82,18,65.7,84.2,1.09,4.7,0.42,9.55,100,11.9,0,0.04,12.4,88.1,111.89,74
31,31,3413,京鼎,195.5,22Q4,189,85.4,9.88,38.1,108,148,5.38,35.4,,5,197,67,15.1,3.45,88.6,108,111.6,62
