,證券代號,證券名稱,公司名稱,實收資本額,成立日期,上市日期,殖利率,本益比,淨值比, 超額買超, 重押券商, 籌碼集中度
0,1316,上曜,上曜建設開發股份有限公司,1877507710,19791211,19921015,0.00,-,2.25,🏆19.26,9268 (43.921%) ,14.73
0,1464,得力,得力實業股份有限公司,3845656520,19820710,19970118,1.85,95.59,1.35,0.46,,-0.47
0,6176,瑞儀,瑞儀光電股份有限公司,4650272630,19950724,20070515,7.80,8.69,1.61,0.36,,⚠️-13.51
0,2488,漢平,漢平電子工業股份有限公司,799994330,19690401,20010917,5.27,15.38,1.13,0.93,,1.32
0,2449,京元電子,京元電子股份有限公司,12227450650,19870528,20010509,4.26,13.55,1.79,2.47,,7.41
0,4155,訊映,訊映光電股份有限公司,949336510,20040927,20171205,6.08,26.88,1.28,0.3,,⚠️-19.92
0,4938,和碩,和碩聯合科技股份有限公司,26691315560,20070627,20100624,6.51,10.55,1.16,1.13,,2.06
0,1436,華友聯,華友聯開發股份有限公司(原福益),957180320,19670131,19880411,3.61,11.47,1.75,0.78,,-6.71
0,2393,億光,億光電子工業股份有限公司,4433930860,19830528,19991104,4.12,12.11,1.33,0.83,,6.36
0,9905,大華,大華金屬工業股份有限公司,3050000000,19731126,19900808,5.71,13.53,1.09,1.82,592W 元富吉利 (37.736%) ,-1.77
0,2486,一詮,一詮精密工業股份有限公司,2219585790,19770818,20010919,0.00,35.54,2.52,0.8,,-1.1
0,6531,愛普*,愛普科技股份有限公司,743406230,20110804,20160531,0.60,29.84,14.49,0.76,,0.79
0,3338,泰碩,泰碩電子股份有限公司,879081410,19940923,20131213,3.43,29.83,2.84,1.8,,-2.8
0,3017,奇鋐,奇鋐科技股份有限公司,3533101570,19911217,20020927,3.14,11.66,2.72,1.12,,8.33
0,2324,仁寶,仁寶電腦工業股份有限公司,44071466250,19840601,19920218,6.32,7.86,1.02,1.96,,16.78
0,5484,慧友,慧友電子股份有限公司,534010000,19950718,20030825,0.00,-,1.64,1.0,,0.0
0,6184,大豐電,大豐有線電視股份有限公司,1582306570,19960311,20050215,6.68,14.39,1.59,1.43,,12.08
0,3661,世芯-KY,世芯電子股份有限公司,706876040,20030227,20141028,0.71,48.33,6.73,0.75,,-2.68
0,8404,百和興業-KY,百和興業股份有限公司(開曼),3151781260,20061106,20110518,2.86,9.02,1.79,1.79,,6.29
0,6412,群電,群光電能科技股份有限公司,3921471840,20081224,20131108,5.17,11.49,2.96,1.0,,12.95
0,1503,士電,士林電機廠股份有限公司,5209722230,19551103,19691215,3.00,16.30,1.08,1.21,9658 (30.208%) ,8.08
0,2006,東和鋼鐵,東和鋼鐵企業股份有限公司,7302138180,19620530,19880713,2.25,8.16,1.75,1.88,,7.17
0,4919,新唐,新唐科技股份有限公司,4172100620,20080409,20100927,0.58,27.93,3.76,1.54,,4.57
0,3051,力特,力特光電科技股份有限公司,1700000000,19980303,20021028,0.00,11.19,4.58,1.0,,7.99
0,1808,潤隆,潤隆建設股份有限公司,3921966370,19770110,19941026,0.74,17.03,3.30,1.0,9666 富邦南屯 (69.663%) ,-7.62
0,2633,台灣高鐵,台灣高速鐵路股份有限公司,56282930580,19980511,20161027,3.61,30.96,2.45,0.86,,⚠️-27.68
0,3029,零壹,零壹科技股份有限公司,1268742120,19800627,20020826,6.85,11.03,2.03,1.48,,11.26
0,2329,華泰,華泰電子股份有限公司,8257019330,19710612,19940420,0.00,18.36,2.11,1.6,,7.52
0,1220,台榮,台榮產業股份有限公司,1770779440,19690313,19911120,6.27,13.75,1.21,2.15,,10.22
0,2338,光罩,台灣光罩股份有限公司,2527136110,19881021,19950417,1.49,15.40,4.37,1.27,,4.73
0,2380,虹光,虹光精密工業股份有限公司,1894440840,19910424,19981203,0.00,-,2.69,🏆22.07,9834 (97.784%) ,🏆42.22
0,2910,統領,統領百貨股份有限公司,2087250000,19820818,19961230,1.56,41.22,2.42,1.0,,0.0
0,3030,德律,德律科技股份有限公司,2362160000,19890410,20021029,5.64,12.91,2.37,1.43,,-4.02
0,6431,光麗-KY,光麗生技控股股份有限公司,511708350,20120704,20141204,0.00,45.63,2.71,1.0,5922 元富新店 (43.75%) ,0.0
0,3050,鈺德,鈺德科技股份有限公司,1459844500,19940519,20021029,3.33,19.78,1.13,0.36,1480 (39.683%) ,-5.66
0,3376,新日興,新日興股份有限公司,1924853460,19680628,20071231,7.28,13.36,1.22,1.4,,13.1
0,4440,宜新實業,宜新實業股份有限公司,675980000,20130621,20211025,7.30,11.53,2.45,1.33,,1.51
0,6257,矽格,矽格股份有限公司,4517588830,19881215,20030825,4.87,10.26,1.85,0.4,,⚠️-19.58
0,1235,興泰,興泰實業股份有限公司,1043979850,19721115,20000911,3.44,60.49,1.31,1.0,,0.0
0,1439,中和,中和羊毛工業股份有限公司,920000000,19641001,19890522,0.00,-,0.98,1.33,,1.36
0,2106,建大,建大工業股份有限公司,9094100000,19620330,19901220,3.30,16.38,1.44,0.67,,⚠️-23.7
0,2233,宇隆,宇隆科技股份有限公司,602880890,19871229,20190917,3.53,11.76,2.14,2.0,,10.68
0,3592,瑞鼎,瑞鼎科技股份有限公司,758618260,20031023,20220107,1.68,17.21,5.81,1.49,,10.81
0,6235,華孚,華孚科技股份有限公司,1716334560,19540123,20040823,1.78,38.68,2.45,0.82,,2.02
0,1474,弘裕,弘裕企業股份有限公司,1298969690,19700904,20001031,2.59,10.96,0.99,1.82,538E 第一自由 (59.113%) ,-0.18
0,2231,為升,為升電裝工業股份有限公司,1219166650,19890109,20101119,0.65,43.31,6.53,1.52,,13.59
0,2327,國巨,國巨股份有限公司,4959188570,19870909,19931022,2.01,11.27,3.29,0.53,,-3.56
0,2374,佳能,佳能企業股份有限公司,2877213120,19650521,19950116,1.68,13.17,1.37,1.61,,5.78
0,3032,偉訓,偉訓科技股份有限公司,1132856260,19790216,20020826,9.66,10.77,1.51,0.29,,⚠️-12.81
0,3033,威健,威健實業股份有限公司,3990554430,19770120,20020826,4.27,8.68,1.70,1.78,,13.67
0,3042,晶技,台灣晶技股份有限公司,3097570400,19831228,20020826,3.73,11.22,2.72,0.83,,⚠️-20.37
0,3167,大量,大量科技股份有限公司,801341160,19801226,20131021,3.62,10.09,3.05,1.26,,⚠️-13.35
0,3645,達邁,達邁科技股份有限公司,1308928940,20000622,20111005,3.54,16.43,1.95,1.11,,12.55
0,6202,盛群,盛群半導體股份有限公司,2261682000,19981001,20040927,4.41,12.09,4.56,0.38,,-5.06
0,6213,聯茂,聯茂電子股份有限公司,3829572180,19970410,20080121,3.77,16.30,2.49,0.41,,⚠️-13.64
0,6756,威鋒電子,威鋒電子股份有限公司,675000000,20080707,20201224,1.01,41.81,10.18,1.22,,0.79
0,8215,明基材,明基材料股份有限公司,3206745140,19980716,20101112,1.94,13.18,2.42,0.94,,8.61
0,8374,羅昇,羅昇企業股份有限公司,1122504870,19840331,20081225,1.99,22.63,1.67,1.13,8560 (47.945%) ,-1.7
