,證券代號,證券名稱,公司名稱,實收資本額,成立日期,上市日期,殖利率,本益比,淨值比,收盤(1ma / 5ma / 20ma / 60ma),張數(1ma / 5ma / 20ma / 60ma),外資持股(%)(1ma / 5ma / 20ma / 60ma),券資比(%)(1ma / 5ma / 20ma / 60ma), 超額買超, 重押券商, 籌碼集中度, 買賣家數差
0,1229,聯華,聯華實業投資控股股份有限公司,14096480360,19550720,19760719,3.99,19.20,2.44,👍    67.6 /     67.4 /    63.66 /    60.45,  1398.0 /   2468.8 /   2328.1 /  1685.89,    12.4 /     12.4 /    12.35 /    12.11,    3.88 /     3.12 /     2.96 /     1.81,0.62,,⚠️-12.58,382
0,1231,聯華食,聯華食品工業股份有限公司,2017623940,19700707,19951102,3.48,18.98,3.51,👍    74.8 /    74.74 /    71.88 /    69.73,   251.0 /    287.8 /    238.9 /   170.11,    2.12 /     2.06 /     1.91 /     1.87,     0.0 /      0.0 /      0.0 /      0.0,0.22,,-33.07,135
0,1409,新纖,新光合成纖維股份有限公司,16184092910,19670425,19730831,5.46,8.88,0.95,👍   20.15 /    19.87 /    19.53 /    19.74,  4269.0 /   3358.8 /   2469.0 /  2778.26,    13.8 /    13.74 /    13.81 /     13.8,    0.77 /     0.63 /     0.48 /     0.52,3.18,,🏆20.77,-299
0,1304,台聚,台灣聚合化學品股份有限公司,11887635000,19650526,19720520,3.41,6.42,1.31,👍   29.35 /    29.11 /    28.76 /    30.48,  3153.0 /   4695.0 /   5138.9 /  5905.51,    36.1 /    36.16 /    36.45 /    37.99,    0.76 /     0.84 /     0.78 /     0.92,2.05,,9.99,-209
0,1305,華夏,華夏海灣塑膠股份有限公司,5810504940,19640429,19730305,6.54,7.07,1.92,   35.15 /    35.31 /     34.4 /    34.41,  3071.0 /   6888.2 /   4039.4 /  4382.65,    9.96 /    10.01 /     9.93 /    10.84,    0.82 /     0.98 /     0.63 /     0.81,0.69,,-9.9,206
0,1308,亞聚,亞洲聚合股份有限公司,5937439190,19770125,19860620,3.85,8.00,1.43,👍    36.4 /    36.31 /    36.06 /    36.57,  1822.0 /   4848.4 /   4635.1 /  6086.07,    8.41 /     8.53 /     8.64 /     9.35,    0.89 /     0.89 /     0.83 /     0.96,1.11,,15.69,-79
0,1313,聯成,聯成化學科技股份有限公司,13471206070,19760814,19890327,4.62,6.60,0.97,👍   21.65 /    21.47 /    21.37 /    21.36,  1260.0 /   1877.6 /  3407.25 /  3209.81,     9.3 /      9.3 /     9.17 /     9.07,    1.45 /     1.36 /     1.14 /     1.01,2.82,,18.25,11
0,1474,弘裕,弘裕企業股份有限公司,1298969690,19700904,20001031,2.63,10.78,0.97,👎    15.2 /    15.17 /    15.31 /    15.26,   255.0 /    290.2 /   448.25 /   543.14,    2.56 /     2.58 /     2.78 /     2.23,    3.28 /     3.24 /     2.88 /     1.06,0.83,,-4.51,4
0,1515,力山,力山工業股份有限公司,1814735000,19730430,19950204,8.04,7.06,2.09,👎    44.8 /    44.32 /    47.13 /    54.54,  1063.0 /   1640.4 /   2411.3 /  1613.18,    8.72 /      8.6 /     8.04 /     7.83,    19.5 /    19.32 /    16.42 /     8.64,0.66,,-3.2,22
0,1604,聲寶,聲寶股份有限公司,3872000000,19620911,19701214,8.03,6.73,1.37,👍   31.15 /    30.91 /    30.74 /    30.05,  1468.0 /    606.2 /   648.75 /   510.72,    10.9 /    10.82 /    10.73 /    10.44,     1.0 /     0.98 /     0.89 /     1.09,1.62,,13.01,-179
0,2020,美亞,美亞鋼管廠股份有限公司,2225261000,19590929,19930427,5.34,8.95,1.98,👍   31.85 /    31.62 /    30.93 /    31.39,   606.0 /    334.2 /   371.15 /   509.09,    3.02 /     2.92 /     2.89 /     3.07,    0.42 /     0.41 /     0.53 /      0.5,1.0,1160 (32.999%) ,2.31,-3
0,2069,運錩,運錩鋼鐵股份有限公司,1663868360,19870724,20160322,1.69,8.43,1.36,👎   32.45 /    32.34 /    32.52 /    34.33,   542.0 /    572.2 /  1259.55 /  2588.84,     1.1 /     1.18 /     1.12 /     1.43,    2.86 /      3.1 /     3.69 /     5.58,1.04,,7.74,-24
0,2324,仁寶,仁寶電腦工業股份有限公司,44071466250,19840601,19920218,6.21,8.00,1.04,👍   25.75 /    25.47 /    25.42 /    24.49, 11480.0 /  11336.6 / 14637.05 / 14099.95,    45.7 /    45.68 /    46.03 /    45.96,    2.98 /     2.94 /     3.51 /     2.25,1.21,,19.08,-720
0,2347,聯強,聯強國際股份有限公司,16679469680,19880912,19951213,4.73,6.96,1.97,👍    69.7 /    69.26 /    68.91 /    65.37,  2067.0 /   2840.6 /  3898.45 /  7431.04,    32.7 /    32.64 /    32.66 /    33.57,    10.6 /     10.5 /     9.69 /     7.34,1.41,,19.64,-155
