,證券代號,公司名稱,董監持股比率
0,1101,台泥,8.15
1,1102,亞泥,27.36
2,1103,嘉泥,17.14
3,1104,環泥,24.15
4,1108,幸福,3.95
5,1109,信大,36.22
6,1110,東泥,34.66
7,1201,味全,14.55
8,1203,味王,28.84
9,1210,大成,12.98
10,1213,大飲,12.9
11,1215,卜蜂,10
12,1216,統一,10.05
13,1217,愛之味,10.24
14,1218,泰山,34.73
15,1219,福壽,6.89
16,1220,台榮,21.34
17,1225,福懋油,22.66
18,1227,佳格,3.2
19,1229,聯華,24.79
20,1231,聯華食,21.8
21,1232,大統益,66.1
22,1233,天仁,11.07
23,1234,黑松,12.02
24,1235,興泰,11.62
25,1236,宏亞,24.46
26,1256,鮮活果汁-KY,54.2
27,1301,台塑,14.93
28,1303,南亞,18.25
29,1304,台聚,24.41
30,1305,華夏,33.13
31,1307,三芳,9.47
32,1308,亞聚,38.36
33,1309,台達化,39.36
34,1310,台苯,4.53
35,1312,國喬,5.26
36,1313,聯成,32.09
37,1314,中石化,6.9
38,1315,達新,17.01
39,1316,上曜,9.14
40,1319,東陽,25.66
41,1321,大洋,5.88
42,1323,永裕,12.94
43,1324,地球,8.05
44,1325,恆大,28.62
45,1326,台化,5.72
46,1337,再生-KY,14.45
47,1338,廣華-KY,17.29
48,1339,昭輝,42.77
49,1340,勝悅-KY,0
50,1341,富林-KY,1.63
51,1342,八貫,17.96
52,1402,遠東新,27.06
53,1409,新纖,5.84
54,1410,南染,17.35
55,1413,宏洲,33.42
56,1414,東和,12.72
57,1416,廣豐,8.16
58,1417,嘉裕,11.59
59,1418,東華,44.97
60,1419,新紡,6.56
61,1423,利華,25.87
62,1432,大魯閣,11.03
63,1434,福懋,38.57
64,1435,中福,0.12
65,1436,華友聯,20.66
66,1437,勤益控,6.89
67,1438,裕豐,10.12
68,1439,中和,10.38
69,1440,南紡,15.81
70,1441,大東,24.16
71,1442,名軒,4.22
72,1443,立益,18.25
73,1444,力麗,19.55
74,1445,大宇,27.81
75,1446,宏和,9.41
76,1447,力鵬,22.03
77,1449,佳和,12.31
78,1451,年興,18.56
79,1452,宏益,11.41
80,1453,大將,18.38
81,1454,台富,8.23
82,1455,集盛,19.8
83,1456,怡華,47.63
84,1457,宜進,9.95
85,1459,聯發,14.95
86,1460,宏遠,27.09
87,1463,強盛,13.53
88,1464,得力,8.67
89,1465,偉全,16.73
90,1466,聚隆,19.74
91,1467,南緯,33.15
92,1468,昶和,29.34
93,1470,大統染,21.5
94,1471,首利,12.74
95,1472,三洋紡,12.17
96,1473,台南,21.29
97,1474,弘裕,13.53
98,1475,本盟,48.8
99,1476,儒鴻,16.18
100,1477,聚陽,9.9
101,1503,士電,26.69
102,1504,東元,8.09
103,1506,正道,20.29
104,1512,瑞利,14.93
105,1513,中興電,9.96
106,1514,亞力,13.27
107,1515,力山,11.91
108,1516,川飛,13.82
109,1517,利奇,10.6
110,1519,華城,19.03
111,1521,大億,32.54
112,1522,堤維西,7.74
113,1524,耿鼎,25.19
114,1525,江申,77.83
115,1526,日馳,28
116,1527,鑽全,14.44
117,1528,恩德,10.03
118,1529,樂士,22.18
119,1530,亞崴,59.06
120,1531,高林股,23.56
121,1532,勤美,19.89
122,1533,車王電,33.31
123,1535,中宇,60.45
124,1536,和大,12.08
125,1537,廣隆,16.88
126,1538,正峰新,39.68
127,1539,巨庭,15.01
128,1540,喬福,20.82
129,1541,錩泰,32.07
130,1558,伸興,10.57
131,1560,中砂,14.89
132,1568,倉佑,18.9
133,1582,信錦,12.79
134,1583,程泰,42.17
135,1587,吉茂,28.13
136,1589,永冠-KY,11.11
137,1590,亞德客-KY,4.05
138,1597,直得,14.09
139,1598,岱宇,8.64
140,1603,華電,12.54
141,1604,聲寶,5.5
142,1605,華新,13.47
143,1608,華榮,33.58
144,1609,大亞,5.54
145,1611,中電,6.13
146,1612,宏泰,12.41
147,1614,三洋電,33.38
148,1615,大山,16.66
149,1616,億泰,10.44
150,1617,榮星,45.89
151,1618,合機,35.37
152,1626,艾美特-KY,26.18
153,1701,中化,17.6
154,1702,南僑,17.61
155,1707,葡萄王,18.46
156,1708,東鹼,11.89
157,1709,和益,18.65
158,1710,東聯,10.43
159,1711,永光,15.18
160,1712,興農,14.75
161,1713,國化,12.98
162,1714,和桐,10
163,1717,長興,15.94
164,1718,中纖,5.71
165,1720,生達,19.82
166,1721,三晃,9.35
167,1722,台肥,24.07
168,1723,中碳,33.99
169,1725,元禎,11.45
170,1726,永記,21.07
171,1727,中華化,24.88
172,1730,花仙子,22.95
173,1731,美吾華,35.35
174,1732,毛寶,18.27
175,1733,五鼎,10.03
176,1734,杏輝,15.21
177,1735,日勝化,58.94
178,1736,喬山,62.93
179,1737,臺鹽,44.28
180,1760,寶齡,18.78
181,1762,中化生,29.99
182,1773,勝一,45.85
183,1776,展宇,8.75
184,1783,和康生,34.16
185,1786,科妍,13.72
186,1789,神隆,64.39
187,1795,美時,51.02
188,1802,台玻,30.08
189,1805,寶徠,13.15
190,1806,冠軍,6.93
191,1808,潤隆,10.04
192,1809,中釉,14.18
193,1810,和成,8.37
194,1817,凱撒衛,15.21
195,1903,士紙,5.84
196,1904,正隆,12.24
197,1905,華紙,57.63
198,1906,寶隆,29.53
199,1907,永豐餘,5.78
200,1909,榮成,36.49
201,2002,中鋼,20.09
202,2006,東和鋼鐵,23.98
203,2007,燁興,73.56
204,2008,高興昌,34.44
205,2009,第一銅,39.43
206,2010,春源,19.47
207,2012,春雨,29.33
208,2013,中鋼構,43.11
209,2014,中鴻,40.58
210,2015,豐興,11.9
211,2017,官田鋼,23.01
212,2020,美亞,16.7
213,2022,聚亨,5.66
214,2023,燁輝,4.36
215,2024,志聯,30.39
216,2025,千興,12.82
217,2027,大成鋼,6.52
218,2028,威致,13.22
219,2029,盛餘,65.76
220,2030,彰源,24.02
221,2031,新光鋼,15.28
222,2032,新鋼,26.16
223,2033,佳大,14.29
224,2034,允強,17.62
225,2038,海光,32.67
226,2049,上銀,12.81
227,2059,川湖,16.59
228,2062,橋椿,14.93
229,2069,運錩,28.44
230,2101,南港,4.27
231,2102,泰豐,34.75
232,2103,台橡,14.14
233,2104,中橡,15.69
234,2105,正新,8.1
235,2106,建大,25.11
236,2107,厚生,24.6
237,2108,南帝,38.06
238,2109,華豐,14.88
239,2114,鑫永銓,15.5
240,2115,六暉-KY,7.7
241,2201,裕隆,35.88
242,2204,中華,47.64
243,2206,三陽工業,8.01
244,2207,和泰車,19.21
245,2208,台船,41.19
246,2211,長榮鋼鐵,3.07
247,2227,裕日車,87.83
248,2228,劍麟,25.58
249,2231,為升,23.11
250,2233,宇隆,12.31
251,2236,百達-KY,20.93
252,2239,英利-KY,39.02
253,2241,艾姆勒,12.97
254,2243,宏旭-KY,26.49
255,2247,汎德永業,35.06
256,2250,IKKA-KY,14.81
257,2301,光寶科,5.9
258,2302,麗正,25.72
259,2303,聯電,6.31
260,2305,全友,21.54
261,2308,台達電,7.33
262,2312,金寶,9.27
263,2313,華通,9.25
264,2314,台揚,23.97
265,2316,楠梓電,19.61
266,2317,鴻海,12.63
267,2321,東訊,67.4
268,2323,中環,9.13
269,2324,仁寶,5.45
270,2327,國巨,7.57
271,2328,廣宇,3.91
272,2329,華泰,53.54
273,2330,台積電,6.56
274,2331,精英,31.03
275,2332,友訊,5.3
276,2337,旺宏,2.76
277,2338,光罩,7.44
278,2340,光磊,20.69
279,2342,茂矽,31.35
280,2344,華邦電,30.14
281,2345,智邦,1.77
282,2347,聯強,22.61
283,2348,海悅,18.06
284,2349,錸德,3.27
285,2351,順德,9.92
286,2352,佳世達,17.6
287,2353,宏基,3.66
288,2354,鴻準,0.82
289,2355,敬鵬,11.65
290,2356,英業達,12.46
291,2357,華碩,5.7
292,2358,廷鑫,11.54
293,2359,所羅門,23.74
294,2360,致茂,4.98
295,2362,藍天,9.1
296,2363,矽統,24.31
297,2364,倫飛,31.89
298,2365,昆盈,6.25
299,2367,燿華,7.14
300,2368,金像電,26.16
301,2369,菱生,4.7
302,2371,大同,1.56
303,2373,震旦行,52.62
304,2374,佳能,10.42
305,2375,凱美,6.03
306,2376,技嘉,10.79
307,2377,微星,13.94
308,2379,瑞昱,6.21
309,2380,虹光,7.43
310,2382,廣達,13.03
311,2383,台光電,9.23
312,2385,群光,10.4
313,2387,精元,32.2
314,2388,威盛,9.4
315,2390,云辰,29.14
316,2392,正崴,20.24
317,2393,億光,7
318,2395,研華,29.9
319,2397,友通,45.07
320,2399,映泰,7.53
321,2401,凌陽,17.36
322,2402,毅嘉,14.22
323,2404,漢唐,9.01
324,2405,浩鑫,7.27
325,2406,國碩,7.74
326,2408,南亞科,29.35
327,2409,友達,7.08
328,2412,中華電,35.29
329,2413,環科,30.98
330,2414,精技,33.7
331,2415,錩新,10.9
332,2417,圓剛,17.26
333,2419,仲琦,62.47
334,2420,新巨,22.71
335,2421,建準,7.5
336,2423,固緯,8.94
337,2424,隴華,25.74
338,2425,承啟,28.71
339,2426,鼎元,8
340,2427,三商電,53.44
341,2428,興勤,21.25
342,2429,銘旺科,18.74
343,2430,燦坤,31.49
344,2431,聯昌,34.79
345,2433,互盛電,27.3
346,2434,統懋,36.43
347,2436,偉詮電,7.34
348,2438,翔耀,39.54
349,2439,美律,8.38
350,2440,太空梭,40.18
351,2441,超豐,43.92
352,2442,新美齊,27.33
353,2443,億麗,9.33
354,2444, 兆勁,4.44
355,2449,京元電子,8.27
356,2450,神腦,33.53
357,2451,創見,3.89
358,2453,凌群,21.93
359,2454,聯發科,2.67
360,2455,全新,6.07
361,2457,飛宏,25.49
362,2458,義隆,5.97
363,2459,敦吉,14.25
364,2460,建通,52.81
365,2461,光群雷,7.97
366,2462,良得電,36.4
367,2464,盟立,13.35
368,2465,麗臺,1.51
369,2466,冠西電,10.27
370,2467,志聖,4.21
371,2468,華經,65.35
372,2471,資通,13.46
373,2472,立隆電,22.26
374,2474,可成,3.78
375,2476,鉅祥,9.75
376,2477,美隆電,24.02
377,2478,大毅,14.57
378,2480,敦陽科,8.91
379,2481,強茂,16.3
380,2482,連宇,19.33
381,2483,百容,15.48
382,2484,希華,8.84
383,2485,兆赫,11.39
384,2486,一詮,17.37
385,2488,漢平,19.48
386,2489,瑞軒,12.31
387,2491,吉祥全,25.97
388,2492,華新科,21.02
389,2493,揚博,13.59
390,2495,普安,14.33
391,2496,卓越,26.3
392,2497,怡利電,24.72
393,2498,宏達電,6.62
394,2501,國建,2.85
395,2504,國產,14.16
396,2505,國揚,7.42
397,2506,太設,6.46
398,2509,全坤建,8.65
399,2511,太子,29.94
400,2514,龍邦,32.49
401,2515,中工,11.67
402,2516,新建,8.76
403,2520,冠德,19.11
404,2524,京城,13.72
405,2527,宏璟,25.43
406,2528,皇普,41.6
407,2530,華建,2.16
408,2534,宏盛,6.75
409,2535,達欣工,15.87
410,2536,宏普,37.12
411,2537,聯上發,22.83
412,2538,基泰,6.13
413,2539,櫻花建,19.83
414,2540,愛山林,43.59
415,2542,興富發,4.25
416,2543,皇昌,50.4
417,2545,皇翔,45.03
418,2546,根基,34.18
419,2547,日勝生,13.27
420,2548,華固,15.48
421,2597,潤弘,47.57
422,2601,益航,11.14
423,2603,長榮,11.16
424,2605,新興,4.85
425,2606,裕民,40.62
426,2607,榮運,48.82
427,2608,大榮,9.1
428,2609,陽明,32.22
429,2610,華航,39.69
430,2611,志信,26.58
431,2612,中航,21.79
432,2613,中櫃,35.34
433,2614,東森,5.55
434,2615,萬海,3.03
435,2616,山隆,24.97
436,2617,台航,43.42
437,2618,長榮航,26.72
438,2630,亞航,75.91
439,2633,台灣高鐵,61.34
440,2634,漢翔,36.34
441,2636,台驊投控,13.29
442,2637,慧洋-KY,27.67
443,2642,宅配通,45.89
444,2701,萬企,19.95
445,2702,華園,19.46
446,2704,國賓,21.17
447,2705,六福,13.41
448,2706,第一店,19.8
449,2707,晶華,10.49
450,2712,遠雄來,51.12
