,證券代號,淨值
0,3008,1162.14
1,2327,290.8
2,2357,285.93
3,2454,276.51
4,2603,260.92
5,6510,240.44
6,2474,232.05
7,4966,224.82
8,6669,221.84
9,5269,220.74
10,3533,198.08
11,8299,196.19
12,1590,194.63
13,6121,184.43
14,3661,177.71
15,3592,170.55
16,3406,169.44
17,2059,164.1
19,6271,152.5
20,2247,146.43
21,6781,142.86
22,6763,139.68
23,3665,134.06
24,6414,128.12
25,6488,124.81
26,4766,123.59
27,4583,122.06
28,1565,120.37
29,2330,113.6
30,6719,111.89
31,3413,111.6
32,3131,110.92
33,3611,109.93
34,5274,108.86
35,1315,108.59
36,3034,107.76
38,1256,107.54
39,6515,107
40,2317,104.65
41,4958,102.54
42,6456,99.31
43,6533,98.5
44,2049,98.23
45,2609,98.21
46,4736,96.96
47,6409,95.07
48,3673,94.33
49,4961,93.43
50,8016,92.43
51,2239,92.39
52,6491,91.82
53,1476,91.64
54,6732,91.38
55,2492,91.34
57,2379,91.16
58,6605,91.01
59,4905,90.59
60,6679,90.24
61,3691,86.65
62,4770,85.16
63,2375,84.26
64,3558,84.19
65,3376,84.18
66,6803,83.84
67,1558,83.58
68,8046,83.14
69,5871,81.55
70,5289,81.02
71,4439,80.76
72,6415,80.69
73,4536,80.68
74,9921,80.43
76,2615,80.4
77,3044,80.22
78,6670,79.35
79,3105,78.62
80,1338,78.25
81,6269,77.28
82,1589,77.02
83,4438,76.79
84,2207,76.47
85,8081,76.14
86,3189,75.8
87,6683,75.71
88,3293,75.66
89,3548,75.43
90,1264,75.29
91,2915,74.55
92,3679,73.7
93,8279,73.49
95,8464,73.32
96,2354,73.08
97,6223,73.07
98,6176,73.02
99,3714,72.38
100,6768,72.16
101,6691,71.98
102,2308,71.91
103,2362,71.41
104,5434,71.32
105,3015,71.15
106,3711,70.15
107,8499,70.09
108,6239,69.97
109,2548,69.66
110,9914,69.42
111,3010,69.27
112,4551,69.08
114,4938,68.43
115,3708,68.35
116,2428,68.32
117,5534,67.93
118,6531,67.77
119,5288,67.19
120,3515,67.15
121,6278,67.09
122,8436,66.72
123,2729,66.53
124,9802,66.43
125,2383,66.31
126,3563,65.16
127,5536,64.67
128,3324,64.65
129,1707,64.6
130,2227,64.07
131,3532,64.03
133,4935,64.03
134,2204,64.01
135,3357,63.95
136,2636,63.69
137,1477,63.5
138,2637,63.09
139,1525,63.01
140,8091,62.99
141,3596,62.66
142,4746,62.54
143,3227,62.48
144,3617,62.05
145,3653,61.91
146,6464,61.67
147,6462,61.54
148,6192,61.45
149,3026,61.37
150,1259,61.28
152,6451,61.06
153,3388,61
154,2723,60.75
155,3551,60.54
156,3527,60.42
157,5306,60.25
158,3443,60.15
159,8255,60.12
160,6472,60.06
161,6230,60.02
162,5904,59.41
163,1726,59.09
164,3680,59.04
165,2612,58.95
166,5203,58.9
167,4137,58.88
168,4942,58.64
169,6643,58.62
171,2408,58.41
172,5371,58.13
173,3037,57.99
174,1788,57.94
175,6579,57.92
176,6706,57.86
177,8422,57.73
178,5283,57.62
179,5522,57.33
180,2377,57.29
181,3211,57.03
182,1595,56.81
183,2376,56.53
184,2439,56.35
185,2395,56.32
186,1301,56.19
187,6582,56.1
188,6214,56.07
190,5478,56
191,2233,55.78
192,1326,55.76
193,9941,55.58
194,6213,55.41
195,6147,55.36
196,3501,55.19
197,8437,55.17
198,4104,54.98
199,2228,54.95
200,2250,54.5
201,3587,54.38
202,5483,54.37
203,6690,54.36
204,1722,54.14
205,8924,53.94
206,6279,53.92
207,1503,53.83
209,8213,53.6
210,4912,53.56
211,6789,53.53
212,3023,53.4
213,8478,53.21
214,3036,53.12
215,1795,52.92
216,6830,52.85
217,1537,52.56
218,5215,52.56
219,6261,52.39
220,3022,52.28
221,6592,52.18
222,8938,52.13
223,5469,51.95
224,9939,51.81
225,2211,51.8
226,6146,51.53
228,3152,51.5
229,5263,51.09
230,6438,51.05
231,8044,50.87
232,3706,50.65
233,1580,50.54
234,1339,50.51
235,6591,50.5
236,8114,50.48
237,2404,50.45
238,2360,50.41
239,5299,50.4
240,8942,50.4
241,2392,50.37
242,3693,50.37
243,6747,50.35
244,6285,50.29
245,2385,49.9
247,3130,49.8
248,4552,49.69
249,2643,49.44
250,1777,49.32
251,3552,49.21
252,2412,49.14
253,4580,49.11
254,6782,48.96
255,4571,48.71
256,2201,48.5
257,6504,48.23
258,2459,48.22
259,4572,48.15
260,4999,47.99
261,6196,47.97
262,4971,47.94
263,6806,47.9
264,4557,47.68
266,3455,47.58
267,2850,47.57
268,3081,47.42
269,5223,47.38
270,4739,47.33
271,1303,47.3
272,2753,47.17
273,3687,46.9
274,5530,46.9
275,6568,46.89
276,6561,46.83
277,8261,46.7
278,4163,46.68
279,6538,46.57
280,6756,46.26
281,1583,46.25
282,3570,46.11
283,6556,45.84
285,6788,45.67
286,1234,45.65
287,2451,45.57
288,4755,45.56
289,6762,45.49
290,6435,45.4
291,1102,45.35
292,2387,45.27
293,2524,45.26
294,6138,45.18
295,5609,45.09
296,3483,45.02
297,8454,44.92
298,2478,44.86
299,1582,44.83
300,3019,44.71
301,3260,44.7
302,6485,44.62
304,6023,44.39
305,6416,44.34
306,5474,44.27
307,4138,44.22
308,2316,44.18
309,6411,44.07
310,8155,44.07
311,6274,44.06
312,2382,43.89
313,8416,43.88
314,3017,43.86
315,6728,43.85
