,證券代號,證券名稱,公司名稱,資本額,成立日期,上市日期,殖利率,本益比,淨值比
0,1101,台泥,臺灣水泥股份有限公司,775.1181742,19501229,19620209,2.92,30.81,1.11
1,1102,亞泥,亞洲水泥股份有限公司,354.6562881,19570321,19620608,4.79,13.96,0.91
2,1103,嘉泥,嘉新水泥股份有限公司,79.0247459,19541213,19691114,2.73,610.00,0.58
3,1104,環泥,環球水泥股份有限公司,67.3217467,19600321,19710201,5.61,11.54,1.05
4,1108,幸福,幸福水泥股份有限公司,40.4738049,19740507,19900606,5.97,12.98,1.42
5,1109,信大,信大水泥股份有限公司,34.1158868,19640315,19911205,6.09,10.15,0.81
6,1110,東泥,東南水泥股份有限公司,57.2000797,19561228,19941022,0.95,84.40,1.33
7,1201,味全,味全食品工業股份有限公司,50.6062914,19530922,19620209,1.44,34.72,1.28
8,1203,味王,味王股份有限公司,24.0,19590704,19640824,2.10,24.79,2.10
9,1210,大成,大成長城企業股份有限公司,89.4767222,19601228,19780520,3.85,11.63,2.10
10,1213,大飲,大西洋飲料股份有限公司,5.6622627,19650724,19810410,0.00,-,2.06
11,1215,卜蜂,台灣卜蜂企業股份有限公司,29.4790098,19770822,19870727,5.21,14.03,3.12
12,1216,統一,統一企業股份有限公司,568.2015421,19670825,19871228,3.69,24.49,3.45
13,1217,愛之味,愛之味股份有限公司,49.4513336,19710626,19891028,1.79,29.88,0.90
14,1218,泰山,泰山企業股份有限公司,49.9999038,19501026,19891111,0.00,73.67,0.88
15,1219,福壽,福壽實業股份有限公司,33.1663383,19550207,19901201,4.26,20.89,1.36
16,1220,台榮,台榮產業股份有限公司,17.7077944,19690313,19911120,3.07,14.36,1.16
17,1225,福懋油,福懋油脂股份有限公司,22.9638204,19860418,19930927,1.37,62.58,6.53
18,1227,佳格,佳格食品股份有限公司,91.5089591,19860606,19940409,2.92,27.06,2.15
19,1229,聯華,聯華實業控股股份有限公司,158.3739567,19550720,19760719,3.07,25.87,2.24
20,1231,聯華食,聯華食品工業股份有限公司,24.6656591,19700707,19951102,2.32,26.92,4.56
21,1232,大統益,大統益股份有限公司,15.9974915,19820524,19960209,4.54,20.41,4.10
22,1233,天仁,天仁茶業股份有限公司,9.0591948,19751211,19990120,2.63,31.67,2.25
23,1234,黑松,黑松股份有限公司,40.1871094,19691213,19990312,4.26,19.25,0.99
24,1235,興泰,興泰實業股份有限公司,14.966495,19721115,20000911,1.04,36.73,1.53
25,1236,宏亞,宏亞食品股份有限公司,8.6674008,19760614,20010917,2.62,103.33,0.94
26,1256,鮮活果汁-KY,鮮活控股股份有限公司,3.384216,20100112,20160317,3.29,16.16,1.74
27,1301,台塑,台灣塑膠工業股份有限公司,636.5740781,19541105,19640727,1.74,70.12,1.08
28,1303,南亞,南亞塑膠工業股份有限公司,793.0821589,19580822,19671105,1.42,58.69,1.08
29,1304,台聚,台灣聚合化學品股份有限公司,118.87635,19650526,19720520,2.29,-,0.71
30,1305,華夏,華夏海灣塑膠股份有限公司,58.1050494,19640429,19730305,2.09,128.85,1.02
31,1307,三芳,三芳化學工業股份有限公司,39.7818126,19730616,19851123,4.84,12.16,1.36
32,1308,亞聚,亞洲聚合股份有限公司,59.3743919,19770125,19860620,2.56,-,0.81
33,1309,台達化,台達化學工業股份有限公司,39.7586848,19600406,19860627,1.70,-,1.06
34,1310,台苯,台灣苯乙烯工業股份有限公司,52.7869764,19791116,19870806,0.00,-,1.01
35,1312,國喬,國喬石油化學股份有限公司,112.6620328,19730925,19881221,0.00,-,0.47
36,1313,聯成,聯成化學科技股份有限公司,136.6220607,19760814,19890327,1.63,-,0.53
37,1314,中石化,中國石油化學工業開發(股)公司,378.485013,19690708,19910712,0.00,207.00,0.49
38,1315,達新,達新工業股份有限公司,9.9099,19661024,19920509,6.94,19.25,0.67
39,1316,上曜,上曜建設開發股份有限公司,29.9996354,19791211,19921015,0.00,-,1.60
40,1319,東陽,東陽實業廠股份有限公司,59.1477068,19671030,19941212,3.70,17.25,2.39
