證券代號,證券名稱,公司名稱,實收資本額,成立日期,上市日期,殖利率,本益比,淨值比,收盤價,全體董監持股(%),100張以下人數,100張以下比例,100-1000張人數,100-1000張比例,1000張以上人數,1000張以上比例,級距1倍數, 級距1價格, 級距2倍數, 級距2價格, 級距3倍數, 級距3價格, 級距4倍數, 級距4價格, 級距5倍數, 級距5價格, 級距6倍數, 級距6價格
2477,美隆電,美隆工業股份有限公司,1982165550,19730115,20010917,4.65,3.7,1.44,30.8,24,10436,20.39,92,92,29,67.26,12,101.2,14.6,123.1,17.2,145,19.8,166.9,22.4,188.8,25,210.8
2915,潤泰全,潤泰全球股份有限公司,7343187720,19760114,19770720,4.98,3.8,0.56,98.9,10.2,63131,27.34,385,385,76,60.18,3,61.5,3.6,73.8,4.2,86.1,4.8,98.4,5.4,110.7,6,123
1608,華榮,華榮電線電纜股份有限公司,6327735060,19561208,19880711,3.28,5.9,1.2,21.05,33.6,44241,28.66,229,229,22,61.6,15,54.15,18,64.98,21,75.81,24,86.64,27,97.47,30,108.3
2809,京城銀,京城商業銀行股份有限公司,11212342650,19510711,19830720,4.44,5.89,0.92,40.5,3.96,37944,13.96,451,451,119,73.88,6,41.34,7,48.23,8,55.12,9,62.01,10,68.9,11,75.79
5469,瀚宇博,瀚宇博德股份有限公司,5284413520,19890322,20030825,4.97,6.16,0.87,43.5,26.1,33564,24.77,225,225,43,64.31,6,43.14,7.4,53.21,8.8,63.27,10.2,73.34,11.6,83.4,13,93.47
1313,聯成,聯成化學科技股份有限公司,13471206070,19760814,19890327,4.74,6.43,0.95,21.25,32.5,69056,24.44,560,560,74,64.47,13,43.16,15.6,51.79,18.2,60.42,20.8,69.06,23.4,77.69,26,86.32
2357,華碩,華碩電腦股份有限公司,7427602800,19900402,19961114,6.84,6.67,1.3,377.5,5.52,104030,20.81,457,457,123,59.41,9,513,10.2,581.4,11.4,649.8,12.6,718.2,13.8,786.6,15,855
1304,台聚,台灣聚合化學品股份有限公司,11887635000,19650526,19720520,3.31,6.62,1.35,30.8,24.4,99386,26.52,434,434,73,63.4,10,45.7,12,54.84,14,63.98,16,73.12,18,82.26,20,91.4
2855,統一證,統一綜合證券股份有限公司,14558313430,19881217,20020916,8.12,6.72,1.1,23.4,7.38,52709,16.72,818,818,103,69.19,8,27.92,9.6,33.5,11.2,39.09,12.8,44.67,14.4,50.26,16,55.84
5533,皇鼎,皇鼎建設開發股份有限公司,2852449440,19910420,20080430,3.16,9.84,0.71,19.05,11.4,4406,7.46,144,144,39,77.27,7,13.51,8.4,16.21,9.8,18.91,11.2,21.62,12.6,24.32,14,27.02
2891,中信金,中國信託金融控股股份有限公司,1.9997E+11,20020517,20020517,4.01,9.85,1.26,26.3,1.46,481000,14.03,6138,6138,991,78.28,9,24.03,9.6,25.63,10.2,27.23,10.8,28.84,11.4,30.44,12,32.04
3036,文曄,文曄科技股份有限公司,9327067540,19931223,20020826,4.24,9.91,1.41,76.9,5.31,35221,11.42,179,179,58,82.46,7,61.95,8,70.8,9,79.65,10,88.5,11,97.35,12,106.2
2505,國揚,國揚實業股份有限公司,3800000000,19720602,19791114,10.14,9.13,1.02,24.35,7.43,29898,21.32,183,183,34,65.48,9,24.21,11,29.59,13,34.97,15,40.35,17,45.73,19,51.11
2816,旺旺保,旺旺友聯產物保險股份有限公司,2236080000,19630219,19920505,4.11,9.17,0.72,19.55,20.9,11476,13.9,81,81,10,75.4,6,12.78,7,14.91,8,17.04,9,19.17,10,21.3,11,23.43
2905,三商,三商投資控股股份有限公司,9131067480,19650219,19880919,4.43,9.17,1.05,22.35,34.8,23902,10.98,232,232,56,82.36,7,17.29,8.2,20.25,9.4,23.22,10.6,26.18,11.8,29.15,13,32.11
2461,光群雷,光群雷射科技股份有限公司,1643246310,19880429,20010917,4.1,9.21,1.39,22.8,8.11,23706,40.08,182,182,18,30.15,15,39.3,18,47.16,21,55.02,24,62.88,27,70.74,30,78.6
2885,元大金,元大金融控股股份有限公司,1.21374E+11,20020204,20020204,4.72,9.37,1.18,25.75,4.63,356050,13.34,3369,3369,698,79.62,9,24.3,10,27,11,29.7,12,32.4,13,35.1,14,37.8
1513,中興電,中興電工機械股份有限公司,4761343100,19560501,19940308,4.87,9.62,1.94,44.7,9.96,69036,46.91,233,233,45,41.14,12,56.52,14,65.94,16,75.36,18,84.78,20,94.2,22,103.6
3033,威健,威健實業股份有限公司,3990554430,19770120,20020826,4.18,8.87,1.74,31,12.4,57580,49.1,383,383,33,27.63,9,34.83,10.2,39.47,11.4,44.12,12.6,48.76,13.8,53.41,15,58.05
