,證券代號,證券名稱,公司名稱,資本額,成立日期,上市日期,殖利率,本益比,淨值比,營業收入,毛利率,營業利益率,稅前純益率,稅後純益率,收盤價,全體董監持股(%),100張以下人數,100張以下比例,100-1000張人數,100-1000張比例,1000張以上人數,1000張以上比例
41,2303,聯電,聯華電子股份有限公司,1248.21233664,19800522,19850716,6.8,8.45,1.82,634.2282,43.37,35.21,37.29,31.64,42.0,6.32,927612,32.9,4263,4263,640,58.67
65,2408,南亞科,南亞科技股份有限公司,309.7121792,19950304,20000817,6.37,6.74,0.99,199.4633,43.87,31.39,40.25,32.84,58.3,29.6,128856,10.07,546,546,154,84.4
86,2545,皇翔,皇翔建設股份有限公司,32.77348096,19911206,20000911,16.05,3.96,0.96,21.2454,51.76,39.0,48.68,48.31,40.4,30.7,14954,17.41,94,94,23,74.55
89,2603,長榮,長榮海運股份有限公司,529.104896,19680925,19870921,17.65,1.77,1.24,1708.2467,69.09,67.2,68.71,62.14,96.1,14.2,454092,30.12,2251,2251,334,58.58
90,2609,陽明,陽明海運股份有限公司,349.2104192,19721229,19920420,19.8,1.75,1.2,1067.0417,70.58,67.76,71.72,56.87,96.2,33.2,377942,35.220000000000006,1318,1318,197,55.15
92,2615,萬海,萬海航運股份有限公司,244.01272832,19650224,19960516,10.0,2.27,1.55,805.0253,64.16,60.69,62.67,50.47,110.5,3.01,125316,11.769999999999998,385,385,157,83.53
94,2637,慧洋-KY,慧洋海運股份有限公司,74.6409216,20081021,20101201,8.09,5.06,1.28,57.5354,49.11,48.27,46.61,46.54,66.4,27.7,43494,18.16,316,316,82,69.86
109,3030,德律,德律科技股份有限公司,23.62160128,19890410,20021029,5.58,9.44,2.08,19.2117,57.99,35.52,40.23,30.72,59.5,18.9,15976,28.28,164,164,24,51.89
111,3034,聯詠,聯詠科技股份有限公司,60.8511488,19970528,20020826,16.04,4.43,2.41,365.1169,50.73,36.37,37.7,30.5,326.0,4.49,98763,25.759999999999994,468,468,112,49.91
141,5534,長虹,長虹建設股份有限公司,29.03259648,19751204,20040524,6.19,8.93,1.07,36.2177,45.25,42.1,42.14,34.59,71.9,10.7,18831,21.36,132,132,33,63.55
143,5608,四維航,四維航業股份有限公司,32.92670976,19850311,20030825,6.06,4.41,1.41,16.0469,48.97,44.06,37.8,29.95,31.9,10.2,71691,60.74000000000001,123,123,21,29.92
