,級距1倍數,級距1價格,級距2倍數,級距2價格,級距3倍數,級距3價格,級距4倍數,級距4價格,級距5倍數,級距5價格,級距6倍數,級距6價格, 100張以下比例,	100-1000張比例,	1000張以上比例,	1000張以上人數
0,11,35.2,12.6,40.32,14.2,45.44,15.8,50.56,17.4,55.68,19,60.8,26.22  /  26.11  /  26.12  /  26.22  /  26.3,9.17  /  9.24  /  9.22  /  9.13  /  9.16,64.53  /  64.59  /  64.59  /  64.58  /  64.46,78.0  /  79.0  /  79.0  /  80.0  /  79.0
0,11,43.23,12.2,47.95,13.4,52.66,14.6,57.38,15.8,62.09,17,66.81,30.06  /  30.01  /  29.9  /  30.04  /  30.06,6.31  /  6.37  /  6.47  /  6.36  /  6.34,63.53  /  63.53  /  63.53  /  63.53  /  63.53,16.0  /  16.0  /  16.0  /  16.0  /  16.0
0,9,20.43,10.6,24.06,12.2,27.69,13.8,31.33,15.4,34.96,17,38.59,24.78  /  24.74  /  24.83  /  24.9  /  25.14,7.67  /  7.52  /  7.38  /  7.38  /  7.51,67.46  /  67.65  /  67.71  /  67.65  /  67.26,110.0  /  110.0  /  112.0  /  112.0  /  110.0
0,10,45.7,12,54.84,14,63.98,16,73.12,18,82.26,20,91.4,27.77  /  27.15  /  26.52  /  26.59  /  26.45,10.21  /  10.35  /  9.99  /  10.1  /  9.95,61.92  /  62.42  /  63.4  /  63.22  /  63.5,68.0  /  68.0  /  73.0  /  72.0  /  71.0
0,7,34.86,8.8,43.82,10.6,52.79,12.4,61.75,14.2,70.72,16,79.68,37.95  /  37.74  /  38.33  /  38.5  /  38.45,12.21  /  11.75  /  12.37  /  12.43  /  12.65,49.78  /  50.43  /  49.23  /  49.0  /  48.85,30.0  /  35.0  /  33.0  /  33.0  /  34.0
0,11,50.16,13.2,60.19,15.4,70.22,17.6,80.26,19.8,90.29,22,100.3,34.49  /  34.27  /  33.44  /  33.61  /  33.7,11.45  /  12.39  /  12.86  /  12.58  /  12.48,53.98  /  53.27  /  53.63  /  53.74  /  53.74,30.0  /  30.0  /  31.0  /  32.0  /  31.0
0,13,43.16,15.6,51.79,18.2,60.42,20.8,69.06,23.4,77.69,26,86.32,24.57  /  24.6  /  24.44  /  24.53  /  24.45,11.08  /  11.14  /  11.02  /  10.93  /  10.93,64.27  /  64.17  /  64.47  /  64.47  /  64.55,73.0  /  73.0  /  74.0  /  73.0  /  72.0
0,13,18.33,15.4,21.71,17.8,25.1,20.2,28.48,22.6,31.87,25,35.25,39.34  /  40.15  /  40.57  /  40.73  /  41.56,18.85  /  18.09  /  17.78  /  17.62  /  16.85,41.76  /  41.69  /  41.59  /  41.59  /  41.55,14.0  /  14.0  /  14.0  /  14.0  /  14.0
0,12,76.2,15.6,99.06,19.2,121.9,22.8,144.8,26.4,167.6,30,190.5,36.93  /  36.26  /  35.51  /  35.45  /  34.57,16.86  /  17.49  /  18.87  /  18.92  /  19.18,46.12  /  46.17  /  45.55  /  45.57  /  46.17,20.0  /  20.0  /  19.0  /  19.0  /  20.0
0,7,32.13,8.2,37.64,9.4,43.15,10.6,48.65,11.8,54.16,13,59.67,31.49  /  31.88  /  32.09  /  32.28  /  32.27,15.33  /  15.35  /  15.04  /  14.91  /  14.95,53.11  /  52.69  /  52.8  /  52.74  /  52.71,42.0  /  41.0  /  42.0  /  42.0  /  42.0
0,12,30,14.4,36,16.8,42,19.2,48,21.6,54,24,60,20.21  /  20.1  /  20.29  /  20.32  /  20.3,25.96  /  26.12  /  25.93  /  25.93  /  25.97,53.74  /  53.71  /  53.7  /  53.67  /  53.66,20.0  /  20.0  /  20.0  /  20.0  /  20.0
0,12,42.72,14.8,52.69,17.6,62.66,20.4,72.62,23.2,82.59,26,92.56,35.14  /  35.15  /  34.97  /  35.0  /  35.1,13.7  /  13.69  /  13.88  /  13.83  /  13.72,51.08  /  51.08  /  51.08  /  51.1  /  51.11,28.0  /  28.0  /  28.0  /  28.0  /  28.0
0,10,38.6,13.4,51.72,16.8,64.85,20.2,77.97,23.6,91.1,27,104.2,36.56  /  36.38  /  35.95  /  36.13  /  36.64,11.73  /  12.83  /  12.78  /  12.67  /  13.03,51.62  /  50.72  /  51.21  /  51.11  /  50.24,19.0  /  18.0  /  19.0  /  19.0  /  18.0
0,9,28.98,10.2,32.84,11.4,36.71,12.6,40.57,13.8,44.44,15,48.3,22.86  /  23.09  /  23.34  /  23.39  /  23.18,9.69  /  9.83  /  9.94  /  9.99  /  9.95,67.37  /  67.0  /  66.63  /  66.55  /  66.81,396.0  /  396.0  /  396.0  /  394.0  /  395.0
0,9,90.18,10.2,102.2,11.4,114.2,12.6,126.3,13.8,138.3,15,150.3,11.23  /  11.15  /  10.99  /  11.01  /  11.41,9.74  /  9.77  /  9.79  /  10.05  /  10.79,78.95  /  79.0  /  79.15  /  78.86  /  77.73,165.0  /  167.0  /  168.0  /  164.0  /  171.0
