,證券代號,100張以下人數,100張以下比例,101-200張人數,101-200張比例,201-400張人數,201-400張比例,401-800張人數,401-800張比例,801-1000張人數,801-1000張比例,1000張以上人數,1000張以上比例
0,000815,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0
1,0050,394549,45.38,188,1.99,78,1.73,37,1.66,10,0.72,55,48.47
2,0051,5179,73.38000000000001,6,5.49,0,0.0,5,21.08,0,0.0,0,0.0
3,0052,13476,28.27,4,1.18,6,3.01,6,5.75,2,3.08,7,58.65
4,0053,1216,63.46,2,5.98,1,6.01,0,0.0,0,0.0,1,24.49
5,0054,1121,60.81000000000001,2,3.98,2,10.5,0,0.0,0,0.0,1,24.66
6,0055,12711,63.58,24,4.24,12,4.26,6,4.58,0,0.0,7,23.28
7,0056,577065,73.49000000000001,1554,6.09,453,3.52,134,2.12,15,0.38,64,14.3
8,0057,180,8.3,4,11.88,2,14.85,0,0.0,0,0.0,1,64.92
9,0061,7783,47.66,90,9.68,42,8.7,20,8.32,2,1.36,9,24.21
10,006201,1818,44.51,2,2.16,3,6.27,2,5.77,1,5.88,1,35.35
11,006203,600,6.8100000000000005,1,1.69,2,6.22,1,4.18,0,0.0,2,81.07
12,006204,1207,59.120000000000005,0,0.0,2,40.86,0,0.0,0,0.0,0,0.0
13,006205,14777,44.660000000000004,59,5.86,21,4.46,15,5.9399999999999995,1,0.63,17,38.37
14,006206,4591,67.74,19,7.41,8,6.88,3,4.98,0,0.0,2,12.93
15,006207,2000,46.620000000000005,32,12.62,17,14.05,4,5.6899999999999995,1,2.4,5,18.55
16,006208,135654,83.67,26,1.39,15,1.7,6,1.54,0,0.0,8,11.61
17,00625K,16,99.95,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
18,00631L,1897,7.39,15,1.64,14,2.73,2,0.72,3,2.01,10,85.54
19,00632R,51928,11.629999999999999,4803,6.98,2920,8.24,1485,8.19,277,2.49,756,62.83
20,00633L,6139,36.27,146,9.43,84,11.04,27,6.74,13,5.54,26,30.91
21,00634R,1409,26.55,61,10.63,33,11.31,13,9.21,6,6.62,10,35.61
22,00635U,5273,48.510000000000005,29,7.02,15,6.98,10,9.28,0,0.0,5,28.13
23,00636,11983,63.66,85,8.84,37,8.1,20,8.18,2,1.46,7,9.68
24,00636K,11,99.97999999999999,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
25,00637L,21111,26.86,885,10.16,460,10.34,243,10.75,31,2.25,124,39.58
26,00638R,944,31.229999999999997,37,12.87,13,8.86,4,4.96,1,2.11,5,39.93
27,00639,7818,54.7,79,10.19,31,8.06,8,3.6599999999999997,4,3.12,10,20.19
28,00640L,610,42.36,5,6.58,1,2.48,5,21.6,1,6.29,2,20.61
29,00641R,929,50.489999999999995,28,15.63,12,13.86,0,0.0,1,3.88,2,16.09
30,00642U,23733,58.89999999999999,254,9.47,107,8.04,40,5.9,5,1.19,20,16.43
31,00643,4752,57.28,57,10.53,21,7.37,15,11.600000000000001,2,2.45,5,10.7
32,00643K,6,99.96000000000001,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
33,00645,2813,27.829999999999995,5,3.02,4,5.55,4,12.0,2,8.02,2,43.51
34,00646,18420,24.119999999999997,45,2.61,15,1.63,6,1.52,5,1.99,17,68.05
35,00647L,498,50.99,5,13.79,3,13.96,0,0.0,0,0.0,1,21.22
36,00648R,3170,30.979999999999997,146,11.84,58,9.2,32,9.969999999999999,3,1.58,10,36.36
37,00650L,1213,36.31999999999999,25,8.73,7,5.31,4,4.7,1,2.37,8,42.49
38,00651R,552,36.46,19,12.52,4,4.86,2,4.77,2,9.31,4,32.0
39,00652,5208,72.11999999999999,5,3.23,4,6.37,5,13.61,1,4.59,0,0.0
40,00653L,938,41.19,10,8.21,4,7.33,2,5.58,0,0.0,4,37.63
41,00654R,670,43.0,16,8.75,9,11.61,4,8.690000000000001,0,0.0,1,27.88
42,00655L,3753,35.75,86,9.18,33,6.44,25,10.48,2,1.35,10,36.71
43,00656R,378,22.11,9,5.83,5,6.07,3,7.49,1,4.16,3,54.3
44,00657,151,15.260000000000002,1,3.05,2,16.27,1,13.91,0,0.0,2,51.43
45,00657K,4,99.99000000000001,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
46,00660,457,17.07,3,4.35,2,4.68,2,15.54,1,10.36,2,47.92
47,00661,186,13.25,2,3.83,0,0.0,0,0.0,0,0.0,3,82.86
48,00662,11441,40.43000000000001,33,4.83,6,1.58,2,1.54,2,1.87,9,49.69
49,00663L,63,0.9500000000000001,1,0.49,1,0.83,0,0.0,0,0.0,5,97.69
50,00664R,4422,12.370000000000001,296,6.16,154,5.89,73,5.619999999999999,12,1.52,52,68.36
51,00665L,906,37.870000000000005,30,11.58,18,13.58,10,15.559999999999999,0,0.0,3,21.34
52,00666R,65,5.62,2,4.23,1,3.42,2,12.56,1,12.3,3,61.81
53,00668,1412,32.75,2,2.81,0,0.0,2,8.8,0,0.0,2,55.58
54,00668K,3,99.99000000000001,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
55,00669R,4599,30.75,241,13.74,85,9.32,53,11.2,4,1.35,21,33.57
56,00670L,1965,51.42999999999999,25,11.37,11,10.0,3,5.27,0,0.0,2,21.84
57,00671R,3137,27.720000000000002,203,12.92,131,15.45,51,11.44,13,4.95,27,27.46
58,00673R,3242,38.52,108,11.87,62,13.87,19,7.91,4,2.85,12,24.91
59,00674R,471,26.229999999999997,9,7.23,2,3.57,7,19.04,1,4.74,4,39.14
60,00675L,589,4.8500000000000005,3,0.67,5,2.41,1,1.25,0,0.0,6,90.74
61,00676R,3830,12.46,301,6.31,198,8.15,93,7.210000000000001,10,1.28,58,64.53
62,00678,2672,75.99000000000001,4,3.49,2,4.64,1,6.12,0,0.0,1,9.67
63,00679B,14245,15.110000000000001,34,1.14,9,0.64,7,0.95,1,0.24,7,81.85
64,00680L,280,46.39,5,13.63,1,3.99,3,35.93,0,0.0,0,0.0
65,00681R,150,0.64,5,0.36,5,0.55,4,0.9099999999999999,2,0.79,7,96.67
66,00682U,927,20.590000000000003,4,1.79,2,2.03,2,3.23,0,0.0,4,72.3
67,00683L,1412,45.25,43,13.8,13,8.22,7,9.69,1,1.97,5,20.99
68,00684R,26,2.97,0,0.0,0,0.0,5,58.86,2,38.13,0,0.0
69,00685L,23,2.88,0,0.0,1,8.15,1,15.86,0,0.0,2,73.08
70,00686R,535,27.62,12,6.0,15,13.7,8,14.620000000000001,1,3.05,4,34.95
71,00687B,1680,2.8100000000000005,1,0.08,1,0.17,4,1.26,0,0.0,2,95.6
72,00688L,96,14.49,2,5.84,0,0.0,1,10.68,1,17.8,1,51.13
73,00689R,108,0.11000000000000001,5,0.1,2,0.07,2,0.14,0,0.0,6,99.51
74,00690,2270,67.52,5,6.12,1,2.11,3,15.879999999999999,1,8.29,0,0.0
75,00692,79108,70.63,80,2.91,21,1.49,10,1.4100000000000001,0,0.0,19,23.46
76,00693U,1482,38.620000000000005,11,5.63,5,4.84,2,5.5,0,0.0,6,45.34
77,00694B,1531,1.1300000000000003,3,0.13,6,0.46,2,0.32,1,0.23,7,97.65
78,00695B,2477,54.59,7,8.5,3,7.02,2,10.81,1,7.71,1,11.31
79,00696B,4085,1.6600000000000001,7,0.16,3,0.15,1,0.07,0,0.0,4,97.9
80,00697B,1058,51.82999999999999,1,1.55,1,3.44,2,15.89,1,12.96,1,14.26
81,00700,1686,71.88999999999999,5,5.88,6,13.75,2,8.42,0,0.0,0,0.0
82,00701,59863,75.78,78,3.49,29,2.52,7,1.19,3,0.87,13,16.07
83,00702,951,38.4,2,4.45,2,7.38,3,23.58,1,11.74,1,14.38
84,00703,1182,69.42,9,11.15,3,6.36,1,4.23,1,8.77,0,0.0
85,00706L,274,38.910000000000004,7,12.57,1,2.95,3,19.83,2,25.68,0,0.0
86,00707R,5,0.54,0,0.0,1,8.65,5,71.47,1,19.31,0,0.0
87,00708L,2525,44.02,52,11.53,20,9.22,18,16.19,3,4.31,4,14.68
88,00709,839,22.97,2,3.71,4,12.38,2,10.26,1,10.67,2,39.95
89,00710B,7858,16.07,45,1.87,21,1.73,6,0.9299999999999999,0,0.0,6,79.32
90,00711B,971,0.43,3,0.04,1,0.04,1,0.05,0,0.0,6,99.37
91,00712,50816,73.28999999999999,310,8.53,98,5.2,30,3.12,5,0.94,13,8.86
92,00713,29339,45.12,38,2.24,10,1.29,5,1.3199999999999998,3,1.19,14,48.77
93,00714,6495,83.11000000000001,17,7.63,2,1.42,1,1.24,1,2.94,1,3.59
94,00715L,7404,17.42,251,6.2,143,6.86,59,5.51,13,1.98,47,61.98
95,00717,14997,52.150000000000006,162,8.42,70,7.44,26,5.43,5,1.8,19,24.68
96,00718B,1073,0.87,16,0.2,7,0.19,6,0.27,1,0.07,9,98.34
97,00719B,287,0.19,1,0.01,2,0.06,4,0.25,0,0.0,6,99.43
98,00720B,1818,1.49,8,0.12,6,0.17,5,0.3,0,0.0,14,97.87
99,00721B,519,0.38,2,0.06,1,0.06,1,0.12,0,0.0,8,99.31
100,00722B,1185,0.32000000000000006,5,0.07,1,0.03,4,0.24000000000000002,1,0.08,12,99.19
101,00723B,246,0.060000000000000005,2,0.03,2,0.04,0,0.0,0,0.0,7,99.83
102,00724B,905,0.24,5,0.03,3,0.04,3,0.08,0,0.0,13,99.55
103,00725B,812,0.37999999999999995,9,0.1,4,0.09,3,0.12000000000000001,1,0.07,15,99.15
104,00726B,308,0.12,2,0.03,0,0.0,1,0.03,0,0.0,13,99.77
105,00727B,941,6.88,6,0.83,2,0.67,1,0.55,0,0.0,5,91.01
106,00728,19254,85.82999999999998,13,2.47,3,0.97,5,4.13,2,2.66,2,3.88
107,00730,19933,85.47,18,2.87,6,1.98,0,0.0,1,1.21,3,8.39
108,00731,9036,81.85,4,1.84,4,4.73,1,1.86,1,3.27,1,6.38
109,00732,38,0.8700000000000001,2,4.97,1,5.65,1,7.26,1,14.76,1,66.45
110,00733,10201,82.27000000000001,6,2.71,5,3.97,2,3.27,0,0.0,2,7.71
111,00734B,520,13.059999999999999,6,2.84,4,4.22,3,6.04,0,0.0,2,73.76
112,00735,623,23.799999999999997,1,3.23,3,19.02,0,0.0,1,19.64,1,34.26
113,00736,366,14.85,0,0.0,0,0.0,0,0.0,1,11.44,4,73.68
114,00737,4614,59.65999999999999,9,3.99,5,4.78,4,8.030000000000001,0,0.0,2,23.48
115,00738U,3563,50.669999999999995,55,11.54,32,12.49,11,9.29,4,5.33,3,10.59
116,00739,3375,56.88999999999999,24,8.78,8,5.45,6,8.74,2,4.81,2,15.24
117,00740B,692,0.24,6,0.1,2,0.07,0,0.0,0,0.0,10,99.54
118,00741B,897,26.360000000000003,1,1.04,2,5.23,0,0.0,0,0.0,2,67.31
119,00742,992,62.42999999999999,0,0.0,0,0.0,0,0.0,0,0.0,1,37.52
120,00743,558,41.5,2,6.33,2,10.86,0,0.0,0,0.0,1,41.26
121,00744B,75,0.07,1,0.02,0,0.0,2,0.13,0,0.0,8,99.73
122,00745B,37,2.46,2,7.45,5,34.03,1,18.67,0,0.0,1,37.35
123,00746B,613,0.14999999999999997,4,0.05,0,0.0,1,0.06,0,0.0,12,99.69
124,00747B,60,0.01,0,0.0,2,0.08,0,0.0,0,0.0,8,99.85
125,00748B,20,0.0,3,0.09,1,0.05,0,0.0,0,0.0,5,99.82
126,00749B,34,0.0,1,0.01,1,0.03,1,0.04,1,0.09,9,99.78
127,00750B,13,0.16999999999999998,0,0.0,1,0.47,0,0.0,1,1.3,3,98.03
128,00751B,3248,1.5800000000000003,10,0.11,7,0.15,2,0.09,2,0.15,15,97.85
129,00752,26784,83.11,136,8.03,23,2.82,10,2.27,2,0.81,4,2.88
130,00753L,2188,55.59,41,12.7,10,6.08,6,6.4399999999999995,3,6.01,4,13.12
131,00754B,165,0.19,2,0.11,0,0.0,1,0.24,0,0.0,4,99.4
132,00755B,1027,1.93,1,0.1,1,0.25,1,0.41,0,0.0,3,97.24
133,00756B,699,0.13,0,0.0,0,0.0,1,0.06,0,0.0,9,99.74
134,00757,26826,58.85000000000001,147,10.72,66,9.56,14,3.68,2,1.01,10,16.1
135,00758B,44,3.0199999999999996,1,2.04,1,4.4,0,0.0,0,0.0,1,90.49
136,00759B,21,0.09,1,0.21,2,1.29,0,0.0,0,0.0,2,98.39
137,00760B,91,0.12,1,0.05,1,0.06,1,0.14,0,0.0,6,99.56
138,00761B,342,0.07,2,0.02,1,0.01,1,0.04,2,0.15,13,99.62
139,00762,6266,26.229999999999997,4,0.89,3,1.32,8,6.26,0,0.0,5,65.23
140,00763U,660,32.230000000000004,0,0.0,3,8.23,3,17.2,1,9.81,2,32.45
141,00764B,399,0.11,1,0.02,0,0.0,1,0.08,1,0.16,6,99.57
142,00765B,47,3.11,0,0.0,0,0.0,1,25.63,0,0.0,1,71.23
143,00768B,550,0.07,1,0.06,0,0.0,1,0.27,0,0.0,3,99.56
144,00770,1475,68.13,1,2.54,1,6.29,2,22.97,0,0.0,0,0.0
145,00771,2452,30.950000000000003,3,0.85,4,2.62,1,1.39,0,0.0,7,64.12
146,00772B,3366,1.51,12,0.13,5,0.09,2,0.08,3,0.23,11,97.88
147,00773B,830,0.26,4,0.04,5,0.09,1,0.05,1,0.06,8,99.44
148,00774B,51,0.0,0,0.0,1,0.05,0,0.0,0,0.0,4,99.93
149,00774C,3,1.7000000000000002,0,0.0,0,0.0,0,0.0,0,0.0,1,98.29
150,00775B,89,0.17,0,0.0,0,0.0,0,0.0,0,0.0,3,99.8
151,00777B,33,0.0,0,0.0,0,0.0,1,0.04,0,0.0,6,99.92
152,00778B,17,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6,99.98
153,00779B,37,0.01,2,0.05,1,0.07,0,0.0,0,0.0,2,99.84
154,00780B,116,0.18000000000000002,0,0.0,0,0.0,1,0.18,0,0.0,5,99.61
155,00781B,173,6.630000000000001,2,2.77,1,2.89,1,4.45,0,0.0,2,83.2
156,00782B,275,38.61000000000001,1,4.66,0,0.0,1,22.98,1,33.7,0,0.0
157,00783,1098,66.05,4,5.67,2,4.89,3,14.24,1,9.1,0,0.0
158,00784B,69,9.69,0,0.0,1,13.13,4,77.13,0,0.0,0,0.0
159,00785B,119,0.06,3,0.13,1,0.07,1,0.15,1,0.24,5,99.27
160,00786B,349,22.089999999999996,2,2.66,3,11.85,2,13.57,0,0.0,2,49.77
161,00787B,435,35.040000000000006,2,5.48,1,6.03,2,18.84,2,34.54,0,0.0
162,00788B,397,38.39999999999999,4,8.28,2,9.74,3,26.0,1,17.52,0,0.0
163,00789B,7,0.22,0,0.0,0,0.0,0,0.0,0,0.0,2,99.76
164,00790B,5,5.27,1,6.42,0,0.0,0,0.0,2,88.28,0,0.0
165,00791B,65,0.11000000000000001,0,0.0,1,0.09,0,0.0,0,0.0,4,99.75
166,00792B,98,0.05,0,0.0,1,0.04,0,0.0,0,0.0,8,99.86
167,00793B,488,62.44,3,16.65,0,0.0,1,20.85,0,0.0,0,0.0
168,00794B,60,0.26,1,0.08,1,0.12,0,0.0,0,0.0,6,99.48
169,00795B,846,1.87,3,0.19,1,0.12,1,0.27,1,0.41,5,97.08
170,00796B,80,0.8400000000000001,4,0.77,1,0.32,1,0.64,0,0.0,3,97.39
171,00799B,244,29.369999999999997,2,8.59,0,0.0,1,12.53,2,49.45,0,0.0
172,008201,397,78.97,1,20.99,0,0.0,0,0.0,0,0.0,0,0.0
173,00830,52595,56.589999999999996,109,3.76,34,2.36,11,1.52,3,0.62,13,35.07
174,00831B,13,0.05,0,0.0,0,0.0,0,0.0,0,0.0,3,99.92
175,00834B,52,1.48,0,0.0,2,2.93,0,0.0,0,0.0,2,95.55
176,00836B,226,0.18000000000000002,2,0.09,2,0.21,0,0.0,0,0.0,5,99.46
177,00838B,79,4.07,0,0.0,1,4.3,1,12.01,0,0.0,2,79.56
178,00840B,54,1.2,1,0.95,0,0.0,1,2.5,0,0.0,2,95.32
179,00841B,48,0.33999999999999997,0,0.0,1,0.44,0,0.0,0,0.0,3,99.18
180,00842B,30,1.1400000000000001,1,1.45,1,3.3,0,0.0,0,0.0,3,94.07
181,00843B,13,2.38,1,3.66,1,4.3,0,0.0,0,0.0,2,89.62
182,00844B,8,0.17,1,0.28,0,0.0,0,0.0,0,0.0,3,99.54
183,00845B,231,0.38,3,0.21,1,0.15,1,0.27,1,0.52,4,98.4
184,00846B,97,0.22,3,0.47,0,0.0,2,1.67,0,0.0,3,97.59
185,00847B,490,25.5,4,6.42,1,2.04,0,0.0,0,0.0,3,65.97
186,00848B,111,0.26,4,0.38,2,0.33,0,0.0,0,0.0,4,98.98
187,00849B,81,0.04,2,0.03,3,0.12,0,0.0,1,0.13,5,99.64
188,00850,65069,74.61000000000001,64,2.68,23,2.09,8,1.26,5,1.51,12,17.79
189,00851,1053,9.76,2,1.4,0,0.0,0,0.0,0,0.0,2,88.79
190,00852L,576,29.04,6,5.16,6,10.26,3,12.06,1,5.29,4,38.13
191,00853B,45,6.47,2,7.66,0,0.0,3,36.28,0,0.0,1,49.54
192,00856B,70,1.12,1,0.65,0,0.0,0,0.0,0,0.0,1,98.2
193,00857B,239,17.619999999999997,0,0.0,1,11.23,1,14.13,0,0.0,1,56.97
194,00858,955,39.17,2,5.68,1,5.73,0,0.0,0,0.0,1,49.38
195,00859B,200,9.7,0,0.0,1,9.97,1,12.49,0,0.0,1,67.81
196,00860B,156,1.9900000000000002,0,0.0,1,1.38,0,0.0,0,0.0,1,96.58
197,00861,27315,74.08,30,2.57,13,1.96,5,1.4500000000000002,1,0.53,10,19.36
198,00862B,269,0.31999999999999995,2,0.09,0,0.0,1,0.13,0,0.0,4,99.41
