,排  名,代號,名稱,股價  日期,成交,漲跌  價,漲跌  幅,股利  發放  年度,最後  成交  價,所屬  EPS,現金  股利,股票  股利,合計  股利,現金  殖利率,股票  殖利率,合計  殖利率,盈餘  配息率,盈餘  配股率,盈餘總  分配率,現金  股利  發放日
0,1,2454,聯發科,03/28,964,-7,-0.72,2022,964,70.56,73,0,73,7.57,0,7.57,103,0,103,
1,2,3008,大立光,03/28,1900,-65,-3.31,2022,1900,139.28,70.16,0,70.16,3.69,0,3.69,50.4,0,50.4,22'04/15
2,3,3293,鈊象,03/28,760,-3,-0.39,2022,760,67.21,50,10,60,6.58,1.32,7.89,74.4,14.9,89.3,
3,4,3592,瑞鼎,03/28,520,-6,-1.14,2022,520,65.09,45,0,45,8.65,0,8.65,69.1,0,69.1,
4,5,2357,華碩,03/28,378,+4,+1.07,2022,378,59.98,42,0,42,11.1,0,11.1,70,0,70,
5,6,5274,信驊,03/28,3070,+90,+3.02,2022,3070,38.3,35,1,36,1.14,0.03,1.17,91.4,2.61,94,
6,7,4966,譜瑞-KY,03/28,1845,-15,-0.81,2022,1845,66.29,32.48,0,32.48,1.76,0,1.76,49,0,49,22'03/31
7,8,6669,緯穎,03/28,920,-28,-2.95,2021,920,49.25,32,0,32,3.48,0,3.48,65,0,65,21'08/10
8,9,8016,矽創,03/28,297,-2,-0.67,2022,297,50.03,32,0,32,10.8,0,10.8,64,0,64,
9,10,6732,昇佳電子,03/28,422,-8,-1.86,2022,422,33.97,30,0,30,7.11,0,7.11,88.3,0,88.3,
10,11,5269,祥碩,03/28,1870,-75,-3.86,2022,1870,46.23,26,0,26,1.39,0,1.39,56.2,0,56.2,
11,12,6121,新普,03/28,315.5,-5.5,-1.71,2022,315.5,34.5,26,0,26,8.24,0,8.24,75.4,0,75.4,
12,13,6409,旭隼,03/28,1365,+5,+0.37,2022,1365,27.13,23.5,0,23.5,1.72,0,1.72,86.6,0,86.6,
13,14,2207,和泰車,03/28,583,0,0,2022,583,29.68,20,0,20,3.43,0,3.43,67.4,0,67.4,
14,15,2609,陽明,03/28,122.5,+0.5,+0.41,2022,122.5,48.73,20,0,20,16.3,0,16.3,41,0,41,
15,16,5904,寶雅,03/28,397.5,-2,-0.5,2021,397.5,21.6,18.7,0.3,19,4.7,0.08,4.78,86.6,1.39,88,21'08/31
16,17,2227,裕日車,03/28,246,-0.5,-0.2,2021,246,21.8,18.53,0,18.53,7.53,0,7.53,85,0,85,21'09/03
17,18,2603,長榮,03/28,133,+0.5,+0.38,2022,133,45.57,18,0,18,13.5,0,13.5,39.5,0,39.5,
19,19,6415,矽力-KY,03/28,3260,+10,+0.31,2022,3260,61.51,17.98,0,17.98,0.55,0,0.55,29.2,0,29.2,22'04/22
20,20,3131,弘塑,03/28,328,-3.5,-1.06,2022,328,,17,0,17,5.18,0,5.18,,,,
21,21,3533,嘉澤,03/28,702,-8,-1.13,2022,702,33.32,16,0,16,2.28,0,2.28,48,0,48,
22,22,6655,科定,03/28,91.7,+0.4,+0.44,2021,91.7,6.62,16,0,16,17.4,0,17.4,242,0,242,21'11/26
23,23,8081,致新,03/28,237.5,-3.5,-1.45,2022,237.5,25.45,16,0,16,6.74,0,6.74,62.9,0,62.9,
24,24,3034,聯詠,03/28,425,-10.5,-2.41,2021,425,19.42,15.6,0,15.6,3.67,0,3.67,80.3,0,80.3,21'09/17
25,25,3211,順達,03/28,114,-0.5,-0.44,2022,114,22.42,15.03,0,15.03,13.2,0,13.2,67,0,67,22'05/04
26,26,1565,精華,03/28,287,-0.5,-0.17,2022,287,18.8,15,0,15,5.23,0,5.23,79.8,0,79.8,
27,27,4736,泰博,03/28,187,+1,+0.54,2022,187,,15,0,15,8.02,0,8.02,,,,
28,28,5536,聖暉,03/28,207,-2.5,-1.19,2022,207,21.08,15,0,15,7.25,0,7.25,71.2,0,71.2,
29,29,6582,申豐,03/28,131,-2.5,-1.87,2022,131,32.74,15,0,15,11.5,0,11.5,45.8,0,45.8,
30,30,6781,AES-KY,03/28,1255,+20,+1.62,2022,1255,,15,0,15,1.2,0,1.2,,,,
31,31,2729,瓦城,03/28,215,-4,-1.83,2021,215,15.95,14.5,0,14.5,6.74,0,6.74,90.9,0,90.9,21'11/19
32,32,2379,瑞昱,03/28,430.5,-15.5,-3.48,2021,430.5,17.24,14,0,14,3.25,0,3.25,81.2,0,81.2,21'10/07
33,33,3529,力旺,03/28,1730,-30,-1.7,2022,1730,14.78,14,0,14,0.81,0,0.81,94.7,0,94.7,
34,34,6691,洋基工程,03/28,193.5,-2,-1.02,2022,193.5,,14,0,14,7.24,0,7.24,,,,
35,35,8924,大田,03/28,142.5,-1,-0.7,2022,142.5,20.15,13.7,0,13.7,9.61,0,9.61,68,0,68,
36,36,6510,精測,03/28,611,-4,-0.65,2022,611,27.2,13.6,0,13.6,2.23,0,2.23,50,0,50,
38,37,2458,義隆,03/28,172,+1.5,+0.88,2022,172,17.64,13.5,0,13.5,7.85,0,7.85,76.5,0,76.5,
39,38,5278,尚凡,03/28,277,-2,-0.72,2022,277,8.9,8.77,4.6,13.37,3.17,1.66,4.83,98.6,51.7,150,22'04/15
40,39,1590,亞德客-KY,03/28,916,-4,-0.43,2022,916,33.67,13.31,0,13.31,1.45,0,1.45,39.5,0,39.5,
41,40,5287,數字,03/28,227.5,-1,-0.44,2022,227.5,,11.3,1.83,13.13,4.97,0.8,5.77,,,,22'05/17
42,41,1256,鮮活果汁-KY,03/28,292.5,-6,-2.01,2022,292.5,20.94,13,0,13,4.44,0,4.44,62.1,0,62.1,
43,42,2404,漢唐,03/28,200,+0.5,+0.25,2022,200,,13,0,13,6.5,0,6.5,,,,
44,43,2636,台驊投控,03/28,122.5,-0.5,-0.41,2022,122.5,30.03,13,0,13,10.6,0,10.6,43.3,0,43.3,
45,44,3515,華擎,03/28,201,+3,+1.52,2022,201,19.67,13,0,13,6.47,0,6.47,66.1,0,66.1,
46,45,8299,群聯,03/28,467.5,-10,-2.09,2022,467.5,21.29,13,0,13,2.78,0,2.78,61.1,0,61.1,
47,46,8454,富邦媒,03/28,917,+7,+0.77,2021,917,13.87,10,3,13,1.09,0.33,1.42,72.1,21.6,93.7,21'07/30
48,47,2707,晶華,03/28,171,+0.5,+0.29,2022,171,14.11,12.39,0,12.39,7.25,0,7.25,87.8,0,87.8,
49,48,1264,德麥,03/28,279.5,-2.5,-0.89,2022,279.5,,12,0,12,4.29,0,4.29,,,,
50,49,1476,儒鴻,03/28,456.5,-4.5,-0.98,2022,456.5,18.77,12,0,12,2.63,0,2.63,63.9,0,63.9,
51,50,2247,汎德永業,03/28,209.5,-0.5,-0.24,2022,209.5,15.36,12,0,12,5.73,0,5.73,78.1,0,78.1,
52,51,2376,技嘉,03/28,131.5,+1,+0.77,2022,131.5,21.01,12,0,12,9.13,0,9.13,57.1,0,57.1,
53,52,2474,可成,03/28,146,-1.5,-1.02,2021,146,23.09,12,0,12,8.22,0,8.22,52,0,52,21'09/30
54,53,2615,萬海,03/28,156,+2.5,+1.63,2022,156,42.35,10.5,1.5,12,6.73,0.96,7.69,24.8,3.54,28.3,
55,54,4137,麗豐-KY,03/28,202,-4,-1.94,2022,202,17.05,12,0,12,5.94,0,5.94,70.4,0,70.4,
57,55,5289,宜鼎,03/28,211,-1.5,-0.71,2022,211,18.94,11.7,0.3,12,5.55,0.14,5.69,61.8,1.58,63.4,
58,56,6613,朋億,03/28,170,-0.5,-0.29,2022,170,16.75,12,0,12,7.06,0,7.06,71.6,0,71.6,
59,57,6670,復盛應用,03/28,200,-2,-0.99,2022,200,18.03,12,0,12,6,0,6,66.6,0,66.6,
60,58,6803,崑鼎,03/28,247.5,-0.5,-0.2,2022,247.5,13.15,11.99,0,11.99,4.84,0,4.84,91.2,0,91.2,
61,59,5299,杰力,03/28,187,-1,-0.53,2022,187,17.68,11.6,0,11.6,6.2,0,6.2,65.6,0,65.6,
62,60,3130,一零四,03/28,196.5,-0.5,-0.25,2022,196.5,11.16,11.16,0,11.16,5.68,0,5.68,100,0,100,
63,61,3526,凡甲,03/28,197.5,+4.5,+2.33,2022,197.5,11.19,11.16,0,11.16,5.65,0,5.65,99.7,0,99.7,
64,62,3611,鼎翰,03/28,202.5,+1.5,+0.75,2022,202.5,,11,0,11,5.43,0,5.43,,,,
65,63,6150,撼訊,03/28,153.5,+4.5,+3.02,2022,153.5,24,11,0,11,7.17,0,7.17,45.8,0,45.8,
66,64,6515,穎崴,03/28,442,+4,+0.91,2022,442,14.46,11,0,11,2.49,0,2.49,76.1,0,76.1,
67,65,8464,億豐,03/28,329,+7.5,+2.33,2022,329,18.15,11,0,11,3.34,0,3.34,60.6,0,60.6,
68,66,6756,威鋒電子,03/28,432,-0.5,-0.12,2022,432,13.04,10.99,0,10.99,2.54,0,2.54,84.3,0,84.3,22'05/06
69,67,6457,紘康,03/28,146.5,-3,-2.01,2022,146.5,,10.89,0,10.89,7.43,0,7.43,,,,
70,68,2059,川湖,03/28,419,-15,-3.46,2022,419,21.75,10.88,0,10.88,2.6,0,2.6,50,0,50,
71,69,3661,世芯-KY,03/28,1085,+20,+1.88,2022,1085,21.34,10.59,0,10.59,0.98,0,0.98,49.6,0,49.6,
72,70,2377,微星,03/28,133.5,-0.5,-0.37,2022,133.5,20.03,10.5,0,10.5,7.87,0,7.87,52.4,0,52.4,
73,71,2597,潤弘,03/28,149.5,-2,-1.32,2021,149.5,7.48,6.5,3.7,10.2,4.35,2.47,6.82,86.9,49.5,136,21'07/30
74,72,5609,中菲行,03/28,104.5,+1.5,+1.46,2022,104.5,16.98,10.2,0,10.2,9.76,0,9.76,60.1,0,60.1,
76,73,8083,瑞穎,03/28,180,-0.5,-0.28,2022,180,10.08,10.2,0,10.2,5.67,0,5.67,101,0,101,
77,74,2327,國巨,03/28,431.5,+1,+0.23,2022,431.5,,10,0,10,2.32,0,2.32,,,,
78,75,2383,台光電,03/28,261,+4,+1.56,2022,261,16.5,10,0,10,3.83,0,3.83,60.6,0,60.6,
79,76,2540,愛山林,03/28,126,-7.5,-5.62,2022,126,,3.5,6.5,10,2.78,5.16,7.94,,,,
80,77,3373,熱映,03/28,33.9,+0.9,+2.73,2021,33.9,17.01,10,0,10,29.5,0,29.5,58.8,0,58.8,21'09/10
81,78,3563,牧德,03/28,214,-1.5,-0.7,2022,214,9.48,10,0,10,4.67,0,4.67,106,0,106,
82,79,3679,新至陞,03/28,87.5,-1.7,-1.91,2021,87.5,11.57,10,0,10,11.4,0,11.4,86.4,0,86.4,21'07/16
83,80,5236,凌陽創新,03/28,132.5,-3,-2.21,2022,132.5,11.83,10,0,10,7.55,0,7.55,84.5,0,84.5,
84,81,6462,神盾,03/28,101,-2,-1.94,2022,101,-3.11,10,0,10,9.9,0,9.9,-322,0,-322,
85,82,6706,惠特,03/28,190.5,+2.5,+1.33,2022,190.5,13.98,10,0,10,5.25,0,5.25,71.5,0,71.5,
86,83,8046,南電,03/28,511,-7,-1.35,2022,511,16.38,10,0,10,1.96,0,1.96,61.1,0,61.1,
87,84,8422,可寧衛,03/28,199.5,-1.5,-0.75,2021,199.5,10.81,10,0,10,5.01,0,5.01,92.5,0,92.5,21'07/20
88,85,9921,巨大,03/28,251,-21.5,-7.89,2022,251,,10,0,10,3.98,0,3.98,,,,
89,86,1477,聚陽,03/28,199,+2,+1.02,2022,199,11.2,9.5,0,9.5,4.77,0,4.77,84.8,0,84.8,22'05/12
90,87,3413,京鼎,03/28,234,-3,-1.27,2022,234,17.01,9.5,0,9.5,4.06,0,4.06,55.8,0,55.8,
91,88,6294,智基,03/28,131.5,+0.5,+0.38,2022,131.5,11.21,9.5,0,9.5,7.22,0,7.22,84.7,0,84.7,22'05/11
92,89,6561,是方,03/28,276.5,0,0,2022,276.5,9.75,9.3,0,9.3,3.36,0,3.36,95.4,0,95.4,
93,90,3227,原相,03/28,139.5,-1.5,-1.06,2022,139.5,11.32,9.14,0,9.14,6.55,0,6.55,80.7,0,80.7,
95,91,3665,貿聯-KY,03/28,294,-24,-7.55,2022,294,,9.13,0,9.13,3.11,0,3.11,,,,
96,92,6679,鈺太,03/28,407,0,0,2022,407,15.06,9.1,0,9.1,2.24,0,2.24,60.4,0,60.4,
97,93,6138,茂達,03/28,228,+0.5,+0.22,2022,228,12.9,9.02,0,9.02,3.96,0,3.96,69.9,0,69.9,
98,94,2912,統一超,03/28,259.5,-3,-1.14,2022,259.5,8.52,9,0,9,3.47,0,3.47,106,0,106,
99,95,3014,聯陽,03/28,112.5,0,0,2022,112.5,11.21,9,0,9,8,0,8,80.3,0,80.3,
100,96,3026,禾伸堂,03/28,119.5,-0.5,-0.42,2022,119.5,12.36,9,0,9,7.53,0,7.53,72.8,0,72.8,
101,97,6146,耕興,03/28,186,0,0,2022,186,11.01,9,0,9,4.84,0,4.84,81.7,0,81.7,
102,98,6271,同欣電,03/28,284,+1.5,+0.53,2022,284,15.49,9,0,9,3.17,0,3.17,58.1,0,58.1,
103,99,6728,上洋,03/28,180,+6,+3.45,2022,180,11.74,9,0,9,5,0,5,76.7,0,76.7,
104,100,5209,新鼎,03/28,79.9,-0.8,-0.99,2022,79.9,10.02,8.89,0,8.89,11.1,0,11.1,88.7,0,88.7,
105,101,8436,大江,03/28,192.5,0,0,2022,192.5,13.17,8.88,0,8.88,4.61,0,4.61,67.4,0,67.4,
106,102,5434,崇越,03/28,168.5,0,0,2022,168.5,12.63,8.8,0,8.8,5.22,0,5.22,69.7,0,69.7,
107,103,6747,亨泰光,03/28,229.5,-1.5,-0.65,2022,229.5,10.01,8.68,0,8.68,3.78,0,3.78,86.7,0,86.7,
108,104,1558,伸興,03/28,141,-0.5,-0.35,2022,141,8.68,8.5,0,8.5,6.03,0,6.03,97.9,0,97.9,
109,105,6491,晶碩,03/28,490,+5,+1.03,2022,490,17.84,8.5,0,8.5,1.73,0,1.73,47.6,0,47.6,
110,106,6703,軒郁,03/28,99.2,+9,+9.98,2022,99.2,,7.3,1.2,8.5,7.36,1.21,8.57,,,,
111,107,6716,應廣,03/28,159,-0.5,-0.31,2022,159,11.52,7.5,1,8.5,4.72,0.63,5.35,65.1,8.68,73.8,
112,108,6763,綠界科技,03/28,740,-28,-3.65,2022,740,11.13,8,0.5,8.5,1.08,0.07,1.15,71.9,4.49,76.4,
114,109,1301,台塑,03/28,105.5,-1,-0.94,2022,105.5,11.21,8.2,0,8.2,7.77,0,7.77,73.1,0,73.1,
115,110,6202,盛群,03/28,119.5,0,0,2022,119.5,9.04,8.12,0,8.12,6.8,0,6.8,89.9,0,89.9,
116,111,5508,永信建,03/28,74.1,-0.7,-0.94,2022,74.1,8.9,8.01,0,8.01,10.8,0,10.8,90,0,90,
117,112,2348,海悅,03/28,102,-7,-6.42,2022,102,,7,1,8,6.86,0.98,7.84,,,,
118,113,2395,研華,03/28,359.5,-2.5,-0.69,2022,359.5,10.67,8,0,8,2.23,0,2.23,75,0,75,
119,114,3006,晶豪科,03/28,165.5,+2.5,+1.53,2022,165.5,17.76,8,0,8,4.83,0,4.83,45,0,45,
120,115,3105,穩懋,03/28,276.5,-4,-1.43,2022,276.5,12.9,8,0,8,2.89,0,2.89,62,0,62,
121,116,3152,璟德,03/28,267,-4,-1.48,2022,267,14.88,8,0,8,3,0,3,53.8,0,53.8,
122,117,3406,玉晶光,03/28,424.5,-13.5,-3.08,2022,424.5,16.96,8,0,8,1.88,0,1.88,47.2,0,47.2,
