,證券代號,100張以下人數,100張以下比例,101-200張人數,101-200張比例,201-400張人數,201-400張比例,401-800張人數,401-800張比例,801-1000張人數,801-1000張比例,1000張以上人數,1000張以上比例
0,000815,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0
1,0050,346257,39.900000000000006,162,1.82,73,1.69,37,1.69,15,1.11,56,53.71
2,0051,4562,72.15999999999998,5,4.64,2,4.1,4,19.009999999999998,0,0.0,0,0.0
3,0052,13756,28.639999999999997,4,1.05,4,2.0,6,5.6,4,6.51,7,56.12
4,0053,1203,64.22,2,5.13,1,5.89,0,0.0,0,0.0,1,24.71
5,0054,1115,61.17,2,3.98,2,9.54,0,0.0,0,0.0,1,25.27
6,0055,10138,68.65,17,3.78,13,5.98,5,4.81,0,0.0,4,16.72
7,0056,555663,73.62,1524,6.22,437,3.55,127,2.08,19,0.51,58,13.96
8,0057,173,8.27,4,12.19,2,14.63,0,0.0,0,0.0,1,64.85
9,0061,7704,46.989999999999995,91,9.78,43,8.83,22,8.870000000000001,2,1.36,9,24.09
10,006201,1333,37.92,3,3.26,3,6.75,2,6.34,1,6.96,1,38.69
11,006203,521,6.1,1,1.69,1,3.21,2,7.87,0,0.0,2,81.07
12,006204,1209,62.28000000000001,0,0.0,2,37.7,0,0.0,0,0.0,0,0.0
13,006205,14563,44.22,57,5.82,20,4.32,12,4.779999999999999,3,2.08,16,38.72
14,006206,4554,66.03,17,6.6,8,6.69,2,2.46,0,0.0,4,18.14
15,006207,1981,46.3,31,11.95,19,15.53,3,4.4,1,2.43,5,19.31
16,006208,122579,80.86,21,1.14,11,1.32,7,1.67,1,0.36,7,14.58
17,00625K,16,99.95,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
18,00631L,1467,8.14,15,1.9,6,1.57,1,0.5,2,1.53,8,86.3
19,00632R,51404,12.06,4744,7.14,2911,8.53,1442,8.26,269,2.5,715,61.45
20,00633L,5622,36.9,130,9.52,73,10.51,26,7.63,13,6.09,25,29.27
21,00634R,1450,26.85,68,11.61,34,11.25,15,10.07,6,6.5,10,33.64
22,00635U,5464,44.98,30,6.29,19,8.02,9,7.18,1,1.35,6,32.1
23,00636,11713,61.24,78,8.16,37,8.14,19,7.49,3,2.09,10,12.83
24,00636K,11,99.97999999999999,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
25,00637L,19142,28.15,795,10.75,418,11.22,204,10.9,31,2.64,111,36.25
26,00638R,989,30.0,44,14.11,17,10.34,4,4.78,1,2.0,5,38.67
27,00639,7733,52.74,76,9.97,27,6.9,7,3.29,4,3.17,13,23.85
28,00640L,459,37.12,3,4.72,2,5.91,5,31.39,1,7.06,1,13.72
29,00641R,903,48.82999999999999,24,11.84,10,10.88,1,1.68,0,0.0,3,26.71
30,00642U,31610,59.099999999999994,441,11.25,163,8.16,63,6.23,6,0.98,23,14.21
31,00643,4728,56.790000000000006,58,10.76,20,7.13,14,10.559999999999999,2,2.38,6,12.31
32,00643K,6,99.96000000000001,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
33,00645,2668,25.340000000000003,6,3.95,4,5.78,3,9.86,2,8.81,3,46.19
34,00646,15434,22.02,37,2.32,9,1.1,7,1.83,4,1.78,15,70.86
35,00647L,347,54.25,4,13.81,2,13.5,1,18.38,0,0.0,0,0.0
36,00648R,2847,27.5,134,10.68,48,7.59,30,9.2,2,1.07,11,43.87
37,00650L,1384,44.28,29,9.53,19,12.69,7,8.64,4,8.76,5,16.02
38,00651R,541,31.690000000000005,17,9.23,6,6.88,2,4.26,1,4.13,5,43.74
39,00652,5276,75.98,6,3.85,5,7.5,5,12.6,0,0.0,0,0.0
40,00653L,1127,48.02000000000001,14,10.98,8,12.6,3,8.92,0,0.0,3,19.41
41,00654R,644,41.25999999999999,9,4.67,8,10.27,5,10.85,1,4.12,2,28.75
42,00655L,3524,35.72,75,8.77,34,7.19,20,9.2,4,2.86,9,36.19
43,00656R,408,22.36,9,5.57,5,5.9,4,10.040000000000001,1,3.9,3,52.13
44,00657,137,13.37,2,5.3,2,15.6,1,14.41,0,0.0,2,51.25
45,00657K,4,99.99000000000001,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
46,00660,450,16.23,3,5.01,3,7.48,3,23.29,0,0.0,2,47.92
47,00661,160,9.25,4,7.57,0,0.0,0,0.0,0,0.0,3,83.12
48,00662,9219,37.05,17,3.67,9,3.37,4,3.4699999999999998,0,0.0,7,52.36
49,00663L,56,0.88,0,0.0,2,2.21,2,3.19,0,0.0,5,93.68
50,00664R,4368,20.5,314,10.82,150,9.88,65,8.34,10,2.06,46,48.33
