公司名稱,證券代號,股本(億),上市日期,成交價,殖利率(%),本益比,股價淨值比,營收累計年增率,毛利率,營業利益率,稅前淨利率,稅後淨利率,本業收益,ROE,董監持股比,每股營業現金流量,每股自由現金流量,級距1倍數,級距1價格,級距2倍數,級距2價格,級距3倍數,級距3價格,級距4倍數,級距4價格,級距5倍數,級距5價格,級距6倍數,級距6價格,
亞洲水泥股份有限公司,1102,354.5572,19620608,43.25,8,9.92,1.01,14.9,24.3,20.3,26.5,21,76.6,10.1,28.80%,12.06,-0.73,9X,43.92,10.2X,49.78,11.4X,55.63,10.2X,61.49,13.8X,67.34,15X,73.2,1
恒大股份有限公司,1325,8.5281,20000911,46.05,26.06,4.78,1.34,-68.6,41.5,35.4,36.61,25.9,96.69,10.5,28.60%,10.9,1.17,4X,38.56,6.6X,63.62,9.2X,88.69,6.6X,113.8,14.4X,138.8,17X,163.9,0
信大水泥股份有限公司,1109,34.1958,19911205,20,7.5,7.07,0.91,-3.07,28.8,22.5,23.99,15,93.79,10.9,36.20%,-1.2,37.66,7X,19.74,8.6X,24.25,10.2X,28.76,8.6X,33.28,13.4X,37.79,15X,42.3,0
新光合成纖維股份有限公司,1409,161.8409,19730831,19.7,5.58,8.68,0.93,42.9,24.7,14,13.87,11.5,100.94,11.3,5.80%,12.71,2.14,9X,20.43,10.6X,24.06,12.2X,27.69,10.6X,31.33,15.4X,34.96,17X,38.59,1
仁寶電腦工業股份有限公司,2324,440.7147,19920218,23.6,6.78,7.33,0.95,19,3.35,1.09,1.49,1.18,73.15,11.7,5.50%,-5.67,-7.8,9X,28.98,10.2X,32.84,11.4X,36.71,10.2X,40.57,13.8X,44.44,15X,48.3,1
岱宇國際股份有限公司,1598,13.3982,20160920,56.8,13.15,6.44,1.76,6.42,34.8,7.84,5.94,4.61,131.99,11.9,9.10%,-10.98,-14.37,9X,80.46,13.2X,118,17.4X,155.6,13.2X,193.1,25.8X,230.7,30X,268.2,1
皇翔建設股份有限公司,2545,32.7735,20000911,37.45,12.02,8.3,1.12,-3.03,43.9,29.6,23.31,22.9,126.98,11.9,30.70%,554.1,-1.01,6X,27,7.4X,33.3,8.8X,39.6,7.4X,45.9,11.6X,52.2,13X,58.5,0
達欣工程股份有限公司,2535,33.7361,19960311,32.2,7.8,8.47,1.27,2.19,14.2,10.3,10.43,8.07,98.75,13.4,15.90%,5.6,2191,6X,22.86,7X,26.67,8X,30.48,7X,34.29,10X,38.1,11X,41.91,0
新至陞科技股份有限公司,3679,6.2671,20111005,93.1,10.74,9.2,1.4,8.45,28.3,18.5,17.47,11.9,105.9,13.4,18.20%,107.6,13.89,8X,81.84,9.8X,100.3,11.6X,118.7,9.8X,137.1,15.2X,155.5,17X,173.9,0
燦星網通股份有限公司,4930,13.43,20100621,25.95,13.49,7.61,0.96,18.9,15.9,7.02,9.96,7.77,70.48,13.8,44.40%,1.96,1.78,15X,51.15,18X,61.38,21X,71.61,18X,81.84,27X,92.07,30X,102.3,1
六暉控股股份有限公司,2115,9.9403,20131225,40.9,6.11,9.76,1.43,35.5,25.5,15.2,16.63,11.9,91.4,14.6,7.70%,1.32,0.16,9X,37.62,10.8X,45.14,12.6X,52.67,10.8X,60.19,16.2X,67.72,18X,75.24,0
統一綜合證券股份有限公司,2855,145.5831,20020916,23.4,8.12,6.72,1.1,46,90.8,38.9,42.2,36.8,92.18,14.9,7.40%,3.33,-3.91,8X,27.92,9.6X,33.5,11.2X,39.09,9.6X,44.67,14.4X,50.26,16X,55.84,1
正隆股份有限公司,1904,110.8275,19710910,33.8,5.33,8.76,1.41,13,24.2,11.1,12.54,9.72,88.52,15.6,12.10%,-0.5,116.4,8X,30.88,9.4X,36.28,10.8X,41.69,9.4X,47.09,13.6X,52.5,15X,57.9,0
潤泰全球股份有限公司,2915,73.4319,19770720,97.7,5.12,3.7,0.55,-2.09,33.2,1.36,707.4,687,0.19,17.2,13.20%,-2.46,0.03,3X,61.5,3.6X,73.8,4.2X,86.1,3.6X,98.4,5.4X,110.7,6X,123,0
