公司名稱,股本(億),上市日期,成交價,殖利率(%),本益比,股價淨值比,營收累計年增率,毛利率,營業利益率,稅前淨利率,稅後淨利率,本業收益,ROE,董監持股比,本益比-級距1,本益比-級距2,本益比-級距3,本益比-級距4,本益比-級距5,本益比-級距6
亞洲水泥股份有限公司(1102),344.6057,19620608,43.15,8.02,9.90,1.01,14.9,24.3,20.3,26.5,21,76.60,10.1,28.8%,9X / 43.92,10.2X / 49.78,11.4X / 55.63,10.2X / 61.49,13.8X / 67.34
嘉新水泥股份有限公司(1103),77.4781,19691114,20.5,6.83,7.22,0.51,12.2,0.18,-26.5,42.31,41.1,-62.63,3.49,17.1%,9X / 25.74,11.4X / 32.6,13.8X / 39.47,11.4X / 46.33,18.6X / 53.2
信大水泥股份有限公司(1109),34.1958,19911205,20.05,7.48,7.08,0.92,-3.07,28.8,22.5,23.99,15,93.79,10.9,36.2%,7X / 19.74,8.6X / 24.25,10.2X / 28.76,8.6X / 33.28,13.4X / 37.79
華夏海灣塑膠股份有限公司(1305),58.105,19730305,34.65,6.64,6.97,1.90,63.2,25.4,16.8,16.5,13.2,101.82,24.7,25%,7X / 34.86,8.8X / 43.82,10.6X / 52.79,8.8X / 61.75,14.2X / 70.72
台達化學工業股份有限公司(1309),37.8654,19860627,33.8,8.88,5.84,1.75,40.1,16.4,11.2,11.88,9.05,94.28,27.3,39.4%,8X / 46.32,11.4X / 66.01,14.8X / 85.69,11.4X / 105.4,21.6X / 125.1
恒大股份有限公司(1325),8.5281,20000911,46.8,25.64,4.85,1.36,-68.6,41.5,35.4,36.61,25.9,96.69,10.5,28.6%,4X / 38.56,6.6X / 63.62,9.2X / 88.69,6.6X / 113.8,14.4X / 138.8
新光合成纖維股份有限公司(1409),161.8409,19730831,19.65,5.60,8.66,0.93,42.9,24.7,14,13.87,11.5,100.94,11.3,5.8%,9X / 20.43,10.6X / 24.06,12.2X / 27.69,10.6X / 31.33,15.4X / 34.96
利華羊毛工業股份有限公司(1423),13.84,19790402,19.85,9.07,4.53,0.91,-13.2,-13.8,-35.6,128.5,99.8,-27.70,6.08,25.9%,15X / 65.55,18X / 78.66,21X / 91.77,18X / 104.9,27X / 118
力山工業股份有限公司(1515),18.1474,19950204,60.3,5.97,9.50,2.81,84.8,13.8,8.14,7.63,6.12,106.68,28.2,12.1%,12X / 76.2,15.6X / 99.06,19.2X / 121.9,15.6X / 144.8,26.4X / 167.6
岱宇國際股份有限公司(1598),13.3982,20160920,58.3,12.81,6.61,1.81,6.42,34.8,7.84,5.94,4.61,131.99,11.9,9.1%,9X / 80.46,13.2X / 118,17.4X / 155.6,13.2X / 193.1,25.8X / 230.7
聲寶股份有限公司(1604),38.72,19701214,29.5,8.47,6.37,1.29,12.1,17.7,7.61,26.84,25,28.35,26,5.6%,7X / 32.13,8.2X / 37.64,9.4X / 43.15,8.2X / 48.65,11.8X / 54.16
正隆股份有限公司(1904),110.8275,19710910,33.7,5.34,8.73,1.40,13,24.2,11.1,12.54,9.72,88.52,15.6,12.1%,8X / 30.88,9.4X / 36.28,10.8X / 41.69,9.4X / 47.09,13.6X / 52.5
