,證券代號,證券名稱,公司名稱,實收資本額,成立日期,上市日期,殖利率,本益比,淨值比,收盤(1ma / 5ma / 20ma / 60ma),張數(1ma / 5ma / 20ma / 60ma),外資持股(%)(1ma / 5ma / 20ma / 60ma),券資比(%)(1ma / 5ma / 20ma / 60ma),本益比-級距1倍數,本益比-級距1價格,本益比-級距2倍數,本益比-級距2價格,本益比-級距3倍數,本益比-級距3價格,本益比-級距4倍數,本益比-級距4價格,本益比-級距5倍數,本益比-級距5價格,本益比-級距6倍數,本益比-級距6價格,毛利率,營業利益率,ROE,稅前淨利率,稅後淨利率,總資產週轉率,本業收益,每股營業現金流量,每股自由現金流量,財報評分,2021,2020,2019,2018,2017
0,1474,弘裕,弘裕企業股份有限公司,1298969690,19700904,20001031,2.64,10.74,0.97,   15.15 /    15.15 /    15.04 /    15.14,   523.0 /    493.6 /   443.45 /  1292.33,    1.72 /     1.64 /     1.49 /     2.58,    0.08 /     0.07 /     0.06 /     0.12,13,18.33,15.4,21.71,17.8,25.1,20.2,28.48,22.6,31.87,25,35.25,16.04,5.23,8.11,6.05,4.81,0.85,86.45,0.86,-0.96,43,   0.4 /    0.0,   0.0 /    0.0,   0.3 /    0.0,   0.6 /    0.0,   0.6 /    0.0
0,1514,亞力,亞力電機股份有限公司,2283266720,19680925,19940326,4.70,16.81,1.73,   25.55 /    25.24 /    24.32 /     23.8,   888.0 /   1065.0 /    657.6 /   497.38,    9.61 /     9.26 /     8.84 /     8.49,     0.0 /      0.0 /     0.09 /     0.14,13,19.76,14.8,22.5,16.6,25.23,18.4,27.97,20.2,30.7,22,33.44,18.34,7.73,11.62,8.6,7.3,0.79,89.88,-2.67,-4.11,34,   0.7 /    0.5,   0.7 /    0.5,   0.7 /    0.3,   0.5 /    0.0,   0.5 /    0.0
0,1515,力山,力山工業股份有限公司,1814735000,19730430,19950204,6.26,9.06,2.68,    57.5 /    56.76 /     59.8 /    63.99,   638.0 /   1179.6 /  1252.05 /   770.72,    7.85 /     7.79 /     7.76 /     8.78,    5.03 /     4.17 /     2.32 /     1.28,12,76.2,15.6,99.06,19.2,121.9,22.8,144.8,26.4,167.6,30,190.5,13.81,8.14,28.22,7.63,6.12,1.74,106.68,7.24,2.77,51,   3.6 /    0.0,   3.0 /    0.0,   2.0 /    0.0,   1.2 /    0.0,   0.5 /    0.0
0,1587,吉茂,吉茂精密股份有限公司,686244490,19840822,20180416,7.77,14.63,1.40,   25.75 /    25.47 /     25.4 /    26.14,    70.8 /     92.2 /   115.28 /   240.14,    21.5 /    21.48 /     21.5 /    21.74,    0.29 /     0.32 /     0.55 /     0.51,14,24.64,16.8,29.57,19.6,34.5,22.4,39.42,25.2,44.35,28,49.28,23.6,7.66,9.01,7.17,4.87,0.84,106.83,-0.27,-1.07,36,   1.5 /    0.5,   0.5 /    0.0,   0.1 /    0.2,  0.44 /    0.0,   1.0 /   1.05
0,2020,美亞,美亞鋼管廠股份有限公司,2225261000,19590929,19930427,5.32,8.97,1.99,   31.95 /    31.98 /    31.85 /    30.96,   260.0 /    494.8 /    619.4 /   870.67,     3.4 /      3.3 /      3.2 /     2.86,    0.34 /     0.34 /      0.5 /     0.84,12,42.72,14.8,52.69,17.6,62.66,20.4,72.62,23.2,82.59,26,92.56,14.3,9.47,27.47,16.52,14.13,0.89,57.32,0.9,1.46,47,   1.7 /    0.0,  1.85 /    0.0,   1.4 /    0.0,  1.42 /    0.0,   0.8 /    0.0
0,2069,運錩,運錩鋼鐵股份有限公司,1663868360,19870724,20160322,1.54,9.26,1.49,   35.65 /    35.83 /    35.84 /    33.98,  1484.0 /   2789.6 /  3444.45 /  4384.67,    2.03 /     1.81 /     1.64 /     1.47,    5.54 /     5.35 /     6.79 /     5.04,10,38.6,13.4,51.72,16.8,64.85,20.2,77.97,23.6,91.1,27,104.2,13,6.49,19.26,6.18,5.03,1.39,105.02,-7.36,-9.52,34,  0.55 /    0.0,   0.5 /    0.0,   2.5 /    0.0,  1.54 /    0.0,  1.64 /    0.0
0,2347,聯強,聯強國際股份有限公司,16679469680,19880912,19951213,5.02,6.57,1.86,    65.8 /    65.28 /    62.11 /    56.94, 19571.0 /  26158.6 / 12908.95 /  6878.37,    33.8 /    34.68 /     34.9 /    35.02,     7.0 /     4.58 /      3.8 /     4.71,9,90.18,10.2,102.2,11.4,114.2,12.6,126.3,13.8,138.3,15,150.3,4.4,2.29,32.94,6.79,5.12,2.25,33.73,3.64,0.68,40,   3.3 /    0.0,   2.6 /    0.0,   2.0 /    0.0,   2.2 /    0.0,   1.0 /    0.0
0,2458,義隆,義隆電子股份有限公司,3038803920,19940505,20010917,5.37,9.59,5.01,   167.5 /    166.9 /   162.68 /   160.72,  2131.0 /   3820.6 /   2278.2 /   3088.9,    22.2 /    21.82 /    21.55 /     22.5,    19.9 /    20.08 /    21.47 /    24.71,12,205.2,14.2,242.8,16.4,280.4,18.6,318.1,20.8,355.7,23,393.3,49.84,31.99,52.13,32.97,26.28,1.23,97.03,12.18,18.04,74,   9.0 /    0.0,   6.5 /    0.0,   5.0 /    0.0,  2.58 /    0.0,  1.57 /    0.0
0,2520,冠德,冠德建設股份有限公司,5541701000,19791123,19931027,9.03,4.43,1.24,   37.65 /     37.7 /    38.29 /    38.43,  1111.0 /   1623.4 /  1644.95 /   1713.7,    21.2 /    21.28 /    21.33 /    21.49,    0.65 /     0.64 /     0.58 /     0.67,7,59.57,8.4,71.48,9.8,83.4,11.2,95.31,12.6,107.2,14,119.1,26.73,19.5,21.09,18.9,15.12,0.46,103.17,10.72,10.69,53,   2.4 /    1.0,   1.5 /    0.0,   1.0 /    0.0,   0.5 /    0.0,   1.1 /    0.0
0,2546,根基,根基營造股份有限公司,1060356600,19820413,20000911,7.31,7.01,1.56,   49.25 /    48.98 /    49.39 /    48.35,    69.2 /     43.8 /    73.91 /   103.09,    3.74 /     3.74 /     3.76 /     3.62,     0.0 /      0.0 /      0.0 /      0.0,7,49.21,8,56.24,9,63.27,10,70.3,11,77.33,12,84.36,11.23,8.38,23.02,9.17,7.35,1.07,91.38,5.88,5.85,45,   3.6 /    0.0,   3.0 /    0.0,   3.0 /    0.0,  2.16 /    0.0,   1.5 /    0.0
0,2881,富邦金,富邦金融控股股份有限公司,134049543940,20011219,20011219,4.03,6.13,1.11,    74.4 /     74.5 /    74.59 /    74.46, 11957.0 /  29732.8 /  22993.0 / 20957.83,    21.8 /    21.84 /    21.99 /    23.36,    10.9 /    10.86 /    10.12 /    19.38,7,92.68,7.8,103.3,8.6,113.9,9.4,124.5,10.2,135,11,145.6,0,0,21.39,39.32,34.96,0.05,0.00,5.1,4.46,56,   3.0 /    1.0,   2.0 /    0.0,   2.0 /    0.0,   2.3 /    0.0,   2.0 /    0.0
0,3706,神達,神達投資控股股份有限公司,12065567890,20130912,20130912,2.97,3.27,0.81,    33.7 /    33.96 /     33.0 /    30.57,  4663.0 /  14264.4 / 12787.15 / 10430.48,    11.4 /    11.24 /    11.05 /     10.6,    0.88 /     0.71 /     0.64 /      0.6,8,82.56,9.4,97.01,10.8,111.5,12.2,125.9,13.6,140.4,15,154.8,9.75,-0.09,33,55.14,34.87,0.68,-0.16,0.14,1.44,57,   1.0 /    0.0,   1.0 /    1.2,   1.5 /    1.5,   1.3 /    1.5,   2.5 /    0.0
0,5515,建國,建國工程股份有限公司,2574401050,19601121,20031006,5.78,7.65,0.76,   13.85 /    13.76 /    13.91 /    13.56,   177.0 /    306.4 /   339.35 /   268.01,    6.19 /     6.16 /     6.25 /     6.44,     0.0 /     0.13 /     0.29 /      0.1,11,19.8,12.4,22.32,13.8,24.84,15.2,27.36,16.6,29.88,18,32.4,13.13,7.24,10.87,12.76,9.47,0.61,56.74,1.3,2.45,51,   0.8 /    0.0,  0.52 /    0.0,   0.5 /    0.0,   0.5 /    0.0,   0.5 /    0.0
0,8112,至上,至上電子股份有限公司,4284964730,19870305,20071231,6.26,7.56,1.94,    47.9 /    47.57 /    46.23 /     44.4,  2525.0 /   2412.0 /   4676.3 /   3558.9,    23.3 /    23.16 /    22.39 /    22.08,     0.6 /     0.58 /     0.41 /      0.6,7,46.97,8.2,55.02,9.4,63.07,10.6,71.13,11.8,79.18,13,87.23,3.26,2.17,31.83,2.02,1.53,4.42,107.43,-12.76,-8.07,32,   3.0 /    0.0,   2.7 /    0.0,   3.0 /    0.0,   2.8 /    0.0,  2.48 /    0.0
