,證券代號,證券名稱,公司名稱,實收資本額,成立日期,上市日期,殖利率(%),股利年度,本益比,股價淨值比,收盤(1ma / 5ma / 20ma / 60ma),張數(1ma / 5ma / 20ma / 60ma),外資持股(%)(1ma / 5ma / 20ma / 60ma),券資比(%)(1ma / 5ma / 20ma / 60ma),本益比-級距1倍數,本益比-級距1價格,本益比-級距2倍數,本益比-級距2價格,本益比-級距3倍數,本益比-級距3價格,本益比-級距4倍數,本益比-級距4價格,本益比-級距5倍數,本益比-級距5價格,本益比-級距6倍數,本益比-級距6價格,毛利率,營業利益率,ROE,稅前淨利率,稅後淨利率,總資產週轉率,本業收益,每股營業現金流量,每股自由現金流量,財報評分
0,1514,亞力,亞力電機股份有限公司,2283266720,19680925,19940326,4.69,109,16.84,1.73,25.6 / 25.09 / 24.26 / 23.76,1296.0 / 958.4 / 629.7 / 488.23,9.61 / 9.26 / 8.84 / 8.49,0.0 / 0.0 / 0.09 / 0.14,13,19.76,14.8,22.5,16.6,25.23,18.4,27.97,20.2,30.7,22,33.44,18.34,7.73,11.62,8.6,7.3,0.79,89.88,-2.67,-4.11,34
0,1474,弘裕,弘裕企業股份有限公司,1298969690,19700904,20001031,2.61,109,10.85,0.98,15.3 / 15.12 / 15.04 / 15.15,282.0 / 416.0 / 439.0 / 1400.37,1.72 / 1.64 / 1.49 / 2.58,0.08 / 0.07 / 0.06 / 0.12,13,18.33,15.4,21.71,17.8,25.1,20.2,28.48,22.6,31.87,25,35.25,16.04,5.23,8.11,6.05,4.81,0.85,86.45,0.86,-0.96,43
0,1587,吉茂,吉茂精密股份有限公司,686244490,19840822,20180416,7.77,109,14.63,1.40,25.75 / 25.33 / 25.4 / 26.16,105.0 / 101.04 / 117.19 / 249.23,21.5 / 21.48 / 21.5 / 21.74,0.29 / 0.32 / 0.55 / 0.51,14,24.64,16.8,29.57,19.6,34.5,22.4,39.42,25.2,44.35,28,49.28,23.6,7.66,9.01,7.17,4.87,0.84,106.83,-0.27,-1.07,36
0,8112,至上,至上電子股份有限公司,4284964730,19870305,20071231,6.30,109,7.51,1.93,47.6 / 47.41 / 46.06 / 44.35,1793.0 / 2497.2 / 4601.5 / 3540.9,23.2 / 23.06 / 22.29 / 22.1,0.6 / 0.58 / 0.41 / 0.6,7,46.97,8.2,55.02,9.4,63.07,10.6,71.13,11.8,79.18,13,87.23,3.26,2.17,31.83,2.02,1.53,4.42,107.43,-12.76,-8.07,32
0,8150,南茂,南茂科技股份有限公司,7272401260,19970728,20140411,4.63,109,7.98,1.51,47.5 / 46.43 / 46.22 / 46.15,8900.0 / 6085.6 / 5587.4 / 6705.08,46.6 / 46.38 / 46.76 / 50.03,4.22 / 6.84 / 6.93 / 7.05,9,53.55,10.8,64.26,12.6,74.97,14.4,85.68,16.2,96.39,18,107.1,26.62,20.51,22.24,21.26,17.67,0.74,96.47,7.35,1.02,66
0,1515,力山,力山工業股份有限公司,1814735000,19730430,19950204,6.26,109,9.06,2.68,57.5 / 56.38 / 60.18 / 64.21,1454.0 / 1319.0 / 1257.8 / 764.4,7.85 / 7.79 / 7.76 / 8.78,5.03 / 4.17 / 2.32 / 1.28,12,76.2,15.6,99.06,19.2,121.9,22.8,144.8,26.4,167.6,30,190.5,13.81,8.14,28.22,7.63,6.12,1.74,106.68,7.24,2.77,51
0,5515,建國,建國工程股份有限公司,2574401050,19601121,20031006,5.82,109,7.60,0.76,13.75 / 13.75 / 13.92 / 13.56,511.0 / 339.2 / 348.45 / 266.87,6.18 / 6.15 / 6.27 / 6.45,0.0 / 0.13 / 0.29 / 0.1,11,19.8,12.4,22.32,13.8,24.84,15.2,27.36,16.6,29.88,18,32.4,13.13,7.24,10.87,12.76,9.47,0.61,56.74,1.3,2.45,51
0,2020,美亞,美亞鋼管廠股份有限公司,2225261000,19590929,19930427,5.29,109,9.03,2.00,32.15 / 31.92 / 31.86 / 30.94,465.0 / 485.6 / 737.6 / 875.78,3.4 / 3.3 / 3.2 / 2.86,0.34 / 0.34 / 0.5 / 0.84,12,42.72,14.8,52.69,17.6,62.66,20.4,72.62,23.2,82.59,26,92.56,14.3,9.47,27.47,16.52,14.13,0.89,57.32,0.9,1.46,47
0,2546,根基,根基營造股份有限公司,1060356600,19820413,20000911,7.37,109,6.95,1.55,48.85 / 48.92 / 49.43 / 48.31,27.5 / 45.62 / 74.02 / 102.56,3.74 / 3.74 / 3.76 / 3.62,0.0 / 0.0 / 0.0 / 0.0,7,49.21,8,56.24,9,63.27,10,70.3,11,77.33,12,84.36,11.23,8.38,23.02,9.17,7.35,1.07,91.38,5.88,5.85,45
0,2881,富邦金,富邦金融控股股份有限公司,134049543940,20011219,20011219,4.01,109,6.16,1.11,74.8 / 74.54 / 74.59 / 74.51,12868.0 / 30191.6 / 23276.35 / 20960.92,21.8 / 21.84 / 21.99 / 23.36,10.9 / 10.86 / 10.12 / 19.38,7,92.68,7.8,103.3,8.6,113.9,9.4,124.5,10.2,135,11,145.6,0,0,21.39,39.32,34.96,0.05,0.00,5.1,4.46,56
